drawtime	alpharemove	copytime
5.967000	2.179000	0.728000
5.582000	2.143000	0.904000
5.600000	2.167000	0.940000
6.341000	2.163000	1.044000
5.756000	2.162000	1.069000
5.948000	2.136000	1.025000
6.566000	2.160000	1.044000
5.944000	2.237000	0.890000
6.341000	2.148000	0.764000
6.022000	2.356000	0.938000
5.506000	2.241000	0.898000
5.587000	2.360000	0.803000
6.099000	2.325000	0.812000
5.696000	2.218000	1.390000
7.263000	2.141000	1.241000
5.630000	2.123000	0.795000
5.503000	2.152000	1.650000
5.819000	2.466000	0.830000
5.898000	2.121000	1.016000
6.270000	2.199000	0.773000
5.746000	2.144000	0.847000
5.688000	2.165000	0.782000
6.385000	2.170000	0.867000
6.145000	2.292000	0.796000
5.943000	2.281000	0.777000
6.715000	2.154000	0.588000
6.317000	2.426000	0.805000
6.503000	2.330000	0.941000
7.078000	2.134000	0.791000
6.412000	2.165000	0.775000
9.235000	2.462000	0.778000
6.390000	1.026000	1.099000
7.631000	2.485000	0.863000
6.779000	2.156000	0.786000
6.419000	2.187000	0.876000
6.043000	2.291000	0.813000
7.184000	2.150000	1.020000
6.809000	2.121000	0.894000
6.281000	2.457000	0.791000
6.979000	2.551000	0.791000
6.698000	2.250000	0.968000
6.415000	2.296000	0.984000
6.318000	2.379000	0.770000
6.638000	2.256000	0.792000
7.097000	2.282000	0.776000
6.408000	2.157000	0.789000
7.177000	2.236000	0.847000
7.344000	2.193000	0.864000
6.453000	2.240000	0.753000
7.062000	2.154000	0.691000
6.298000	2.288000	0.762000
6.031000	2.157000	0.882000
6.723000	2.324000	1.206000
6.133000	2.142000	1.081000
5.832000	2.459000	0.656000
6.859000	2.153000	0.799000
5.859000	2.186000	0.750000
5.735000	2.134000	0.754000
5.875000	2.192000	0.915000
5.452000	2.189000	0.751000
5.292000	2.150000	0.731000
5.296000	2.178000	0.757000
5.706000	2.150000	1.066000
6.328000	2.186000	0.760000
5.850000	2.152000	0.878000
6.294000	2.186000	0.889000
6.986000	2.213000	0.807000
5.999000	2.169000	0.750000
6.907000	2.149000	0.801000
6.014000	2.186000	0.933000
6.322000	2.181000	1.078000
6.831000	2.151000	0.762000
6.103000	2.195000	0.750000
6.993000	2.179000	0.858000
6.060000	2.209000	0.730000
10.535000	2.162000	3.408000
6.035000	2.168000	0.774000
6.006000	2.235000	0.758000
6.702000	2.200000	0.749000
6.392000	2.159000	0.821000
6.667000	2.147000	0.912000
6.207000	2.168000	0.752000
6.743000	2.153000	0.735000
6.358000	2.163000	1.022000
5.994000	2.196000	0.765000
6.374000	2.202000	0.960000
5.985000	2.179000	0.757000
6.016000	2.153000	0.751000
6.092000	2.202000	0.840000
6.325000	2.168000	0.759000
5.709000	2.203000	1.405000
5.703000	2.155000	0.686000
5.715000	2.144000	0.704000
6.712000	2.206000	0.890000
5.810000	2.192000	0.767000
5.738000	2.183000	0.720000
6.550000	2.193000	0.752000
5.878000	2.176000	0.760000
5.864000	2.152000	1.573000
6.133000	2.179000	0.807000
5.576000	2.179000	0.756000
6.288000	2.163000	1.156000
5.786000	2.150000	0.776000
5.328000	2.174000	0.799000
6.040000	2.152000	0.788000
5.563000	2.169000	0.764000
5.637000	2.146000	0.713000
6.474000	2.182000	0.850000
6.067000	2.196000	0.858000
5.743000	2.160000	0.783000
6.461000	2.151000	0.742000
6.339000	2.184000	0.890000
5.856000	2.148000	0.735000
6.728000	2.177000	0.919000
5.873000	2.151000	0.761000
5.986000	2.170000	1.726000
6.118000	2.195000	0.772000
6.062012	2.182000	0.754000
6.329000	2.184000	0.942000
5.229000	2.236000	0.757000
5.776000	2.199000	0.903000
6.822000	2.157000	0.759000
5.936000	2.190000	0.748000
5.848000	2.221000	0.661000
6.731000	2.301000	0.840000
5.459000	2.175000	0.784000
