framenum	recvswapchain	sendcamera	alphaadd	copyintoswap	netframetime	fps	mbps
83	26.716000	0.177000	12.635000	0.537000	42.046001	23.783474	228.746964	
84	27.556999	0.163000	12.405000	0.576000	43.679001	22.894297	212.772034	
85	28.937000	0.161000	12.009000	0.558000	43.551998	22.961060	210.797287	
86	24.858000	0.273000	12.626000	0.597000	40.410000	24.746349	246.366287	
87	23.173000	0.184000	12.614000	0.506000	37.916000	26.374090	266.937744	
88	19.656000	0.202000	12.609000	0.514000	34.748001	28.778633	307.050079	
89	28.336000	0.251000	12.625000	0.608000	45.167999	22.139568	213.922348	
90	28.760000	0.197000	11.986000	0.584000	43.629002	22.920534	214.213684	
91	24.983999	0.188000	12.630000	0.700000	40.330002	24.795437	246.385590	
92	22.072001	0.166000	11.411000	0.527000	37.189999	26.888950	262.144012	
93	24.898001	0.233000	12.649000	0.721000	40.367001	24.772711	244.053543	
94	23.674000	0.207000	11.330000	0.571000	38.078999	26.261194	252.953369	
95	28.240000	0.210000	12.659000	0.712000	43.840000	22.810219	215.158722	
96	26.288000	0.099000	9.750000	0.500000	38.450001	26.007801	235.564484	
97	30.048000	0.243000	12.282000	0.600000	45.617001	21.921652	202.018311	
98	24.552000	0.211000	12.631000	0.785000	41.720001	23.969318	234.896057	
99	23.673000	0.180000	12.112000	0.715000	39.682999	25.199709	247.509979	
100	26.281000	0.179000	11.892000	0.504000	40.640999	24.605694	234.922379	
101	24.492001	0.155000	11.625000	0.620000	39.270000	25.464731	242.950897	
102	26.146000	0.197000	12.633000	0.592000	42.018002	23.799324	229.272110	
103	26.653999	0.186000	12.622009	0.663000	42.270020	23.657429	227.440384	
104	24.663000	0.167000	11.724000	0.572000	39.243999	25.481602	246.134964	
105	26.827000	0.209000	12.732000	0.689000	42.138000	23.731548	230.295990	
106	28.627001	0.178000	12.136000	0.521000	43.390999	23.046255	213.053040	
107	24.813999	0.180000	10.914000	0.632000	40.137001	24.914667	229.883667	
108	25.535000	0.187000	12.604000	0.605000	41.797001	23.925161	231.040222	
109	26.167999	0.164000	12.245000	0.648000	40.842999	24.484001	234.633270	
110	27.431999	0.169000	11.208000	0.524000	40.936001	24.428375	224.823349	
111	26.007999	0.182000	12.671000	0.665000	41.425999	24.139431	237.790314	
112	22.417999	0.143000	5.695000	0.451000	30.766001	32.503410	271.464264	
113	22.221001	0.196000	9.597000	0.525000	35.841999	27.900230	255.076248	
114	20.417000	0.179000	11.347000	0.516000	34.289001	29.163870	296.361389	
115	28.212000	0.199000	12.262000	0.875000	43.938999	22.758825	214.747437	
116	28.222000	0.169000	12.111000	0.531000	43.108002	23.197550	216.230972	
117	28.837000	0.237000	10.816000	0.521000	42.493999	23.532734	210.592682	
