recvswapchain	sendcamera	alphaadd	copyintoswap	netframetime	fps	mbps
43.110001	0.200000	0.396000	0.619000	48.139999	20.772747	183.105408
43.623001	0.195000	0.387000	0.669000	47.334999	21.126017	186.778763
45.286999	0.233000	0.453000	0.543000	48.092999	20.793047	182.921738
40.409000	0.168000	0.380000	0.549000	43.233002	23.130478	205.240952
45.604980	0.195000	0.389000	0.510000	48.499023	20.618973	181.803802
44.365002	0.143000	0.280000	0.509000	47.623001	20.998257	184.146454
44.002998	0.226000	0.330000	0.449000	46.646999	21.437607	187.572296
44.837002	0.179000	0.303000	0.551000	47.250999	21.163574	184.929962
39.071999	0.182000	0.385000	0.532000	41.903000	23.864639	211.124451
36.757000	0.147000	0.267000	0.467000	40.255001	24.841635	218.949387
44.650002	0.185000	0.331000	0.498000	49.129002	20.354576	177.668289
38.646999	0.178000	0.296000	0.466000	40.846001	24.482201	215.180786
43.084999	0.146000	0.263000	0.461000	49.061001	20.382788	178.034042
42.150002	0.159000	0.451000	0.501000	44.938000	22.252882	196.013824
37.470001	0.203000	0.390000	0.505000	40.133999	24.916531	220.260162
36.569000	0.187000	0.446000	0.481000	39.183998	25.520622	226.596634
36.338001	0.141000	0.256000	0.520000	38.879002	25.720825	227.333527
36.335999	0.139000	0.219000	0.401000	38.647999	25.874561	226.989059
42.876999	0.108000	0.277000	0.482000	46.943001	21.302431	185.297607
46.893002	0.188000	0.337000	0.661000	49.693001	20.123558	175.743912
43.486000	0.181000	0.575000	0.505000	46.573002	21.471666	190.187683
42.401001	0.440000	0.370000	0.489000	47.965000	20.848536	184.190933
47.026001	0.164000	0.415000	0.522000	50.026001	19.989605	176.234970
44.187000	0.170000	0.383000	0.731000	48.550999	20.596899	182.507843
42.195000	0.194000	0.359000	0.478000	44.912998	22.265270	195.867386
44.053001	0.190000	0.304000	0.496000	46.623001	21.448641	189.856247
44.343994	0.203000	0.350000	0.516000	47.213989	21.180162	185.605164
42.938999	0.616000	0.329000	0.582000	45.529999	21.963541	195.420212
44.167000	0.154000	0.341000	0.549000	46.844002	21.347450	187.325165
40.585999	0.163000	0.325000	0.721000	43.333000	23.077101	205.890778
35.278000	0.162000	0.432000	0.461000	38.446999	26.009832	232.687256
47.269001	0.906000	0.350000	0.552000	49.924000	20.030447	175.611450
47.990002	0.298000	0.392000	0.526000	50.834999	19.671486	172.772186
47.558998	0.186000	0.307000	0.523000	49.981998	20.007204	175.120209
45.314999	0.175000	0.455000	0.519000	47.995998	20.835070	182.873901
46.312000	0.197000	0.343000	0.512000	48.861000	20.466221	179.393250
44.162998	0.359000	0.395000	0.493000	47.495998	21.054405	186.878632
43.476002	0.147000	0.341000	0.564000	46.349998	21.574974	191.433319
47.449001	0.210000	0.355000	0.741000	50.393002	19.844025	179.974426
41.929001	0.219000	0.376000	0.559000	44.737000	22.352863	197.490524
40.039001	0.218000	0.516000	0.806000	42.998001	23.256895	207.968277
35.166000	0.130000	0.222000	0.429000	37.472000	26.686592	234.725174
46.150002	0.128000	0.247000	0.479000	48.816002	20.485086	179.681442
43.726002	0.200000	0.505000	0.562000	46.555000	21.479969	189.538803
38.854000	0.132000	0.257000	0.451000	41.344002	24.187305	212.375198
36.153999	0.192000	0.299000	0.506000	38.828999	25.753948	228.304932
37.544998	0.144000	0.267000	0.467000	40.352001	24.781918	219.029434
43.268005	0.195000	0.391000	0.537000	46.567993	21.473976	190.252457
46.064999	0.547000	0.492000	0.554000	48.922001	20.440701	181.563736
43.308998	0.511000	0.362000	0.529000	47.597000	21.009727	186.554459
45.282001	0.230000	0.494000	0.805000	48.481998	20.626213	182.822083
43.129002	0.161000	0.384000	0.536000	45.921001	21.776529	192.368378
46.393002	0.252000	0.532000	0.553000	48.986000	20.413996	179.912674
37.743000	0.160000	0.404000	0.468000	41.391998	24.159258	214.087952
