framenum	recvswapchain	sendcamera	alphaadd	copyintoswap	netframetime	fps	mbps
1	5.619000	0.103000	2.267000	14.354000	23.254000	43.003353	514.100098
2	11.090000	0.113000	2.238000	8.013000	21.827000	45.814816	283.697601
3	12.367000	0.114000	2.262000	5.601000	22.180000	45.085663	227.423431
4	18.292999	0.113000	2.264000	0.257000	21.934000	45.591320	165.799255
5	23.643999	0.102000	2.244000	0.271000	27.521999	36.334568	128.509216
6	23.763000	0.116000	2.267000	0.272000	28.545000	35.032406	123.305519
7	20.434999	0.115000	2.285000	0.261000	24.797001	40.327457	144.139099
8	22.472000	0.101000	2.247000	0.271000	26.620001	37.565739	132.857330
9	25.149000	0.126000	2.265000	0.268000	28.226000	35.428329	124.714027
10	23.049000	0.125000	1.999000	0.253000	26.846001	37.249496	130.543671
11	23.711000	0.108000	2.100000	0.255000	26.631001	37.550224	132.565048
12	26.599001	0.113000	2.264000	0.317000	29.715000	33.653038	117.984787
13	22.198000	0.239000	7.847000	0.436000	34.502998	28.982988	124.436684
14	15.889000	0.229000	6.127014	0.314000	25.674988	38.948410	174.002670
15	14.787000	0.206000	6.272000	0.344000	22.653999	44.142315	209.216797
16	17.534000	0.207000	6.288000	0.376000	27.096001	36.905815	163.081085
17	16.666000	0.221000	5.336000	0.352000	27.264999	36.677059	153.052322
18	18.065001	2.116000	5.483000	0.327000	26.985001	37.057625	162.624039
19	22.517000	0.216000	4.699000	0.369000	28.837000	34.677670	138.617126
20	19.632000	0.214000	5.327000	0.402000	27.253000	36.693207	154.775986
21	21.836000	0.447000	4.919000	0.333000	28.422001	35.184010	143.014145
22	23.003000	0.225000	4.463000	0.427000	29.141001	34.315910	136.088593
23	20.662001	0.290000	4.525000	0.338000	27.917999	35.819187	143.236420
24	21.287001	0.212000	4.918000	0.350000	28.153000	35.520195	145.241501
25	24.334999	0.157000	4.237000	0.328000	29.927999	33.413525	128.662231
26	24.368000	0.180000	4.217000	0.333000	29.931999	33.409061	130.158676
27	20.128000	0.284000	5.733000	0.332000	29.850000	33.500835	138.116089
28	21.631001	0.225000	6.112000	0.337000	29.115000	34.346558	145.430252
29	21.985001	0.229000	5.459000	0.325000	30.048000	33.280087	136.242447
30	19.546000	0.256000	6.313000	0.357000	28.575001	34.995625	150.660645
31	18.323999	0.243000	6.313000	0.642000	26.471001	37.777187	173.578552
32	18.625000	0.233000	6.291000	0.545000	27.169001	36.806652	162.945404
33	22.882000	0.238000	5.264000	0.369000	29.785000	33.573948	136.759766
34	18.617001	8.396000	2.024000	0.956000	28.155001	35.517670	163.055634
35	27.153999	0.144000	1.839000	0.374000	30.506001	32.780437	116.801727
36	24.599001	0.256000	5.260000	0.369000	31.358000	31.889790	127.029633
37	21.419001	0.225000	6.194000	0.384000	29.066000	34.404457	147.130585
38	17.176001	0.222000	7.473000	0.537000	27.996000	35.719387	166.071655
39	19.163000	0.209000	6.271000	0.388000	26.938999	37.120903	163.668839
40	18.124001	0.253000	6.278000	0.374000	28.282000	35.358177	152.441742
41	18.191000	0.252000	6.293000	0.395000	26.650999	37.522045	165.729095
42	20.379000	0.265000	6.332000	0.373000	28.281000	35.359428	156.195602
43	19.646999	0.222000	6.281000	0.374000	28.045000	35.656979	154.913727
44	18.944000	0.221000	6.290000	0.383000	26.718000	37.427952	165.248398
45	20.608000	0.213000	6.169000	0.348000	28.347000	35.277100	151.821304
46	18.639000	0.237000	6.260000	0.450000	28.504999	35.081566	155.228363
47	18.618000	1.772000	6.280000	0.385000	26.348000	37.953545	169.567612
48	20.864000	2.865000	2.696000	0.731000	25.346001	39.453957	150.004318
49	26.554993	0.180000	4.145000	0.347000	32.078979	31.173061	117.798607
50	20.525999	0.162000	3.442000	0.337000	26.061001	38.371513	147.178955
51	24.121000	0.272000	5.960000	0.365000	31.618999	31.626554	130.029053
52	18.541000	0.148000	2.764000	1.063000	25.229000	39.636925	153.276917
53	21.339001	0.119000	1.853000	0.297000	25.947001	38.540100	136.153641
54	24.146000	0.210000	5.392000	0.373000	31.014999	32.242462	129.309998
55	19.285000	0.222000	2.450000	1.225000	24.382000	41.013863	158.102829
56	22.849001	0.121000	1.843000	0.286000	25.716000	38.886295	137.558289
57	20.350000	0.254000	6.281000	0.394000	28.004999	35.707909	153.457077
58	18.893000	0.252000	6.324000	0.348000	26.809999	37.299515	165.667770
59	18.934000	0.215000	6.273000	0.393000	27.080000	36.927624	161.692566
60	18.547001	0.237000	6.276000	0.347000	26.205999	38.159203	168.075958
61	21.193001	0.206000	6.292000	0.348000	29.107000	34.355995	147.748032
62	17.132999	0.202000	6.330000	0.358000	27.507000	36.354382	160.475266
63	19.214001	0.230000	6.282000	0.365000	27.309999	36.616623	159.462601
64	20.719000	0.214000	6.292000	0.395000	28.409000	35.200111	151.162140
65	18.489000	0.217000	6.258000	0.346000	26.966000	37.083736	163.242508
66	18.549000	0.215000	6.314000	0.354000	26.195999	38.173767	170.314163
67	20.497999	0.225000	6.298000	0.352000	28.208000	35.450935	152.530792
68	17.426001	0.244000	6.263000	0.357000	28.379999	35.236084	153.112152
69	18.825001	0.220000	6.272000	0.357000	26.530001	37.693176	166.115677
70	18.280001	0.211000	6.333000	1.814000	28.226000	35.428329	165.135178
71	18.535000	0.250000	6.298000	0.375000	26.429001	37.837223	169.027939
72	16.011000	0.225000	6.254000	0.377000	24.587999	40.670246	185.443588
73	17.764000	0.235000	6.278000	0.472000	26.316000	37.999695	169.641052
74	18.351000	2.368000	2.028000	0.917000	22.540001	44.365570	170.138474
75	25.775000	0.174000	3.228000	0.348000	30.167999	33.147705	124.753754
76	20.957001	0.212000	6.293000	0.398000	28.693001	34.851704	150.040207
77	18.983000	0.215000	6.303000	0.358000	26.610001	37.579857	167.743042
78	17.858000	0.213000	6.289000	0.374000	26.545000	37.671879	166.327301
79	20.775000	0.233000	6.174000	0.360000	28.389999	35.223671	150.798416
80	18.191000	0.881000	6.288000	0.364000	26.691000	37.465813	165.720322
81	18.854000	0.215000	6.312000	0.359000	26.504999	37.728733	165.869446
82	19.919001	0.214000	6.305000	0.356000	27.905001	35.835873	157.041046
83	18.653000	0.223000	6.257000	0.343000	26.702000	37.450378	165.720322
84	19.181000	0.540000	6.336000	0.346000	26.892000	37.185780	164.054443
85	20.465027	0.228000	6.184000	0.318000	28.033020	35.672218	155.954758
86	19.179001	0.258000	6.375000	0.354000	27.413000	36.479042	167.814911
87	18.997000	0.231000	6.299000	0.352000	26.653000	37.519230	166.089279
88	19.205999	0.210000	6.312000	0.348000	26.938999	37.120903	164.157593
89	19.752001	0.773000	6.356000	0.396000	27.700001	36.101082	160.631561
90	19.138000	0.219000	6.311000	0.411000	27.535999	36.316097	162.354416
91	19.441000	0.228000	6.312000	0.424000	27.296000	36.635406	162.581848
92	18.849001	0.453000	6.357000	0.397000	26.715000	37.432156	167.402496
93	19.291000	0.745000	6.299000	0.406000	28.111000	35.573261	156.538940
94	23.475000	0.219000	5.291000	0.411000	30.416000	32.877434	146.251587
95	19.063999	0.222000	5.915000	0.366000	27.455000	36.423237	158.390533
96	20.573999	0.210000	4.775000	0.397000	26.941999	37.116772	153.329422
97	20.573999	1.002000	6.356000	0.367000	28.517000	35.066803	152.175217
98	19.389999	0.235000	6.320000	0.391000	27.332001	36.587151	162.135986
99	18.709000	0.283000	1.854000	0.295000	22.218000	45.008553	165.291977
100	26.840000	0.217000	5.870000	0.374000	34.150002	29.282576	116.571426
101	18.231001	0.258000	6.195000	0.420000	28.198999	35.462250	153.863983
102	18.799999	0.195000	6.318000	0.339000	27.215000	36.744442	162.708481
103	20.032000	0.303000	6.297000	0.354000	27.799000	35.972519	157.578079
104	19.448000	0.205000	6.295000	0.415000	27.695999	36.106297	159.763412
105	17.908001	0.187000	6.282000	0.411000	26.461000	37.791466	169.824951
106	18.660000	0.413000	6.431000	0.384000	26.677999	37.484070	168.945923
107	20.353001	0.947000	6.304000	0.514000	28.336000	35.290794	157.744659
108	18.747000	0.197000	6.264000	0.396000	26.600000	37.593983	166.512909
109	17.183001	6.719000	6.292000	0.400000	25.805000	38.752178	174.526001
110	23.860001	0.180000	5.623000	0.370000	31.061001	32.194714	131.089828
111	20.622999	0.233000	6.204000	0.345000	28.243000	35.407005	152.768768
112	20.323000	0.203000	5.908000	0.354000	27.747999	36.038635	155.405457
113	19.688000	0.222000	6.294000	0.392000	27.607000	36.222698	161.442627
114	22.117001	6.463000	5.793000	0.388000	29.336000	34.087811	141.874496
115	25.965000	0.138000	4.326000	0.336000	32.186001	31.069408	120.623634
116	21.348000	0.225000	5.936000	0.375000	28.840000	34.674065	147.518478
117	19.413000	0.198000	6.274000	0.317000	27.416000	36.475052	161.011246
118	19.705999	0.192000	6.272000	0.571000	27.886000	35.860291	161.127167
119	18.865000	0.208000	6.261000	0.370000	26.584000	37.616611	167.330978
120	20.945999	0.190002	6.271973	0.395000	28.752014	34.780170	151.608292
121	17.226000	0.276000	6.311000	0.373000	25.174000	39.723526	181.459351
122	19.520000	0.156000	3.472000	0.335000	25.268999	39.574184	156.883804
123	22.243999	0.246000	5.836000	0.348000	29.562000	33.827209	140.923767
124	17.889000	0.116000	3.008000	0.292000	23.854000	41.921692	159.001373
125	23.163000	0.900000	6.272000	0.374000	31.327000	31.921347	131.601852
126	20.139999	2.651000	6.266000	0.390000	27.855000	35.900200	156.008972
127	20.445999	0.186000	6.180000	0.343000	28.164000	35.506321	156.970245
128	18.716000	0.216000	6.269000	0.378000	26.676001	37.486877	167.554672
129	18.372000	0.209000	6.358000	0.404000	26.292000	38.034382	174.623260
130	18.261000	0.256000	6.288000	0.393000	26.254999	38.087986	171.104675
131	19.583000	0.220000	6.333000	0.420000	28.013000	35.697712	156.985977
132	17.065001	0.247000	6.307000	0.457000	25.884001	38.633904	175.493698
133	17.761999	0.234000	6.290000	0.404000	25.549999	39.138943	177.582321
134	16.035999	0.221000	6.306000	0.424000	27.039000	36.983616	163.917145
135	15.019000	0.204000	6.350000	0.422000	25.878000	38.642860	178.330215
136	17.766001	0.203000	6.333000	0.405000	27.627001	36.196472	160.401337
137	17.910000	0.198000	6.272000	0.429000	26.423000	37.845818	172.413345
138	19.792999	0.244000	6.277000	0.448000	27.809000	35.959583	161.776047
139	18.663000	0.187000	6.320000	0.428000	27.485001	36.383480	161.334564
140	19.280001	0.196000	6.318000	0.505000	27.473000	36.399376	162.211533
141	18.690001	0.194000	6.279000	0.467000	27.198000	36.767410	162.911514
142	20.167000	0.208000	6.380000	0.338000	28.077999	35.615074	154.814240
143	20.882999	0.204000	6.316000	0.395000	28.798000	34.724632	149.975586
144	18.761999	0.197000	6.331000	0.384000	27.164000	36.813431	161.425995
145	18.400000	0.184000	6.305000	0.388000	26.441000	37.820053	170.908707
146	20.615000	0.206000	6.305000	0.563000	28.719999	34.818943	151.622955
147	17.922001	0.181000	6.340000	0.412000	26.737000	37.401356	166.929840
148	18.822001	0.210000	6.353000	0.416000	27.025999	37.001408	169.981567
149	17.891001	4.091000	6.330000	0.395000	26.386999	37.897449	171.376068
150	24.271000	4.493000	5.756000	0.370000	31.542000	31.703760	129.102219
151	23.590000	0.435000	2.837000	0.384000	27.990999	35.725769	132.156906
152	22.121000	0.196000	5.675000	0.393000	30.115000	33.206043	137.733627
153	19.021000	0.199000	6.284000	0.344000	26.952000	37.102997	164.709839
154	18.767000	0.214000	6.280000	0.348000	26.462000	37.790039	169.641052
155	19.556999	0.185000	6.263000	0.355000	27.238001	36.713413	161.301346
156	18.929016	6.813000	6.346000	0.407000	26.859009	37.231457	165.693939
157	25.929001	0.196000	5.040000	0.368000	32.555000	30.717247	120.605049
158	17.434000	0.179000	6.351000	0.398000	25.931000	38.563881	172.746033
159	18.400000	0.198000	6.294000	0.441000	26.228001	38.127190	173.032196
160	18.947001	0.193000	6.267000	0.411000	26.804001	37.307865	164.623306
161	18.375000	0.201000	6.319000	0.399000	26.785000	37.334328	166.468689
162	17.841999	0.223000	6.273000	0.399000	26.344000	37.959309	168.555145
163	18.362000	0.194000	6.298000	0.401000	26.493000	37.745819	168.355911
164	19.516001	0.207000	6.320000	0.390000	27.447001	36.433853	160.722198
165	20.552000	0.242000	6.296000	0.447000	28.531000	35.049595	154.669037
166	19.427000	0.188000	6.255000	0.375000	27.141001	36.844624	162.700043
167	19.943001	0.260000	6.283000	0.377000	27.691000	36.112816	157.159195
168	18.235001	0.178000	5.292000	0.333000	29.421000	33.989326	137.776016
169	18.731001	0.175000	6.360000	0.415000	28.914000	34.585323	149.112030
170	16.577000	0.176000	6.303000	0.417000	27.485001	36.383480	159.276154
171	18.490000	0.170000	6.300000	0.415000	26.784000	37.335724	165.074280
172	20.695000	0.208000	6.334000	0.498000	28.657000	34.895489	150.588242
173	19.924999	0.185000	6.353000	0.389000	27.884001	35.862858	157.380203
174	18.091999	0.181000	6.304000	0.402000	26.878000	37.205151	164.969986
175	19.974001	0.189000	6.317000	0.396000	27.833000	35.928574	156.570221
176	19.396999	0.213000	6.324000	0.418000	27.523001	36.333248	159.203339
177	19.568001	0.244000	6.366000	0.401000	27.688999	36.115425	160.106293
178	17.809000	0.204000	6.276000	0.394000	26.097000	38.318581	172.432297
179	19.607000	0.223000	6.289000	0.396000	27.357000	36.553715	162.539688
180	21.285999	0.213000	5.712000	0.425000	29.429001	33.980087	142.448517
181	18.131001	0.178000	6.351000	0.315000	26.622999	37.561508	165.746628
182	19.308001	0.393000	6.358000	2.733000	29.813000	33.542416	163.319077
183	17.469999	0.209000	6.296000	4.463000	29.386000	34.029812	182.686569
184	17.410999	0.194000	6.303000	4.374000	29.292000	34.139015	183.231400
185	15.964000	0.195000	6.315000	2.345000	26.495001	37.742970	189.526398
186	18.149000	0.216000	6.347000	0.314000	26.051001	38.386242	175.631409
187	20.406000	0.201000	6.329000	0.395000	28.320000	35.310734	155.784027
188	18.076000	0.210000	6.262000	0.557000	26.754999	37.376194	169.027939
189	16.867001	0.237000	6.324000	0.342000	24.694000	40.495667	186.060211
190	19.165001	0.180000	6.291000	0.367000	26.864000	37.224537	166.106873
191	20.003000	0.185000	6.281000	0.441000	27.957001	35.769215	159.470703
192	17.000000	0.197000	6.305000	0.391000	27.974976	35.746235	155.397720
193	19.965000	0.186000	6.220000	0.365000	28.309000	35.324455	152.820923
194	20.509001	0.205000	6.174000	0.324000	28.125999	35.554291	153.833771
195	18.809000	0.108000	2.535000	1.187000	23.934999	41.779819	162.430145
196	24.833000	0.402000	7.460000	0.442000	34.488998	28.994753	126.216064
197	17.722000	0.190000	6.293000	0.378000	26.211000	38.151920	171.376068
198	19.979000	0.185000	6.300000	0.654000	28.420000	35.186489	156.335892
199	20.072001	0.188000	6.319000	0.355000	28.000000	35.714287	158.422577
200	20.973000	6.392000	6.003000	0.364000	28.669001	34.880882	149.731918
201	26.010000	0.197000	4.459000	0.533000	32.096001	31.156530	121.108490
202	22.461000	0.202000	5.591000	0.492000	29.643000	33.734779	139.319733
203	22.277000	0.258000	5.701000	0.373000	30.274000	33.031643	138.703018
204	21.121000	0.184000	6.261000	0.362000	28.799999	34.722221	149.396393
205	18.697001	0.184000	6.245000	0.369000	27.702999	36.097176	157.522629
206	21.490000	0.190000	6.180000	0.364000	29.340000	34.083164	145.261703
207	19.337000	6.302000	6.366000	0.381000	27.834000	35.927284	157.514709
208	27.698999	0.172000	4.330000	0.385000	33.525002	29.828485	113.674583
209	19.783001	0.518000	6.128000	0.369000	29.336000	34.087811	146.896072
210	20.360001	0.195000	6.256000	0.425000	28.344000	35.280834	155.552032
211	16.938000	0.460000	6.342000	0.327000	24.996000	40.006401	182.761154
212	19.489000	0.442000	6.318000	0.683000	28.169001	35.500015	157.863876
213	20.422001	0.194000	6.279000	0.730000	28.798000	34.724632	156.024490
214	21.724001	0.201000	6.124000	0.364000	29.368000	34.050667	146.703506
215	19.493000	0.201000	6.369000	0.408000	28.450001	35.149384	155.900284
216	20.962000	0.708000	6.278000	0.376000	28.815001	34.704147	150.725876
217	21.086000	0.201000	6.165000	0.385000	29.306999	34.121540	146.634857
218	20.849001	0.207000	6.254000	0.361000	28.568001	35.004200	152.642242
219	18.697001	0.221000	6.277000	0.379000	28.062000	35.635380	155.459412
220	21.070999	0.207000	6.355000	0.388000	28.988001	34.497032	149.789185
221	20.163000	0.202000	6.327000	0.417000	28.733000	34.803188	153.554840
222	19.260000	0.200000	6.312000	0.388000	27.466000	36.408649	164.020096
223	19.549000	0.226000	6.269000	0.373000	27.363001	36.545700	161.401047
224	20.759001	0.401000	8.846000	0.395000	31.412001	31.834967	151.931732
225	17.784000	0.219000	6.372000	0.399000	25.834000	38.708679	177.150604
226	20.486023	0.212000	6.306000	1.101000	29.669983	33.704098	150.061905
227	18.938999	0.236000	6.265000	0.666000	27.268000	36.673023	168.229370
228	23.023001	0.541000	5.897000	0.374000	30.490999	32.796562	136.420395
229	17.790001	0.213000	5.451000	0.369000	30.650000	32.626427	133.999313
230	22.139999	0.200000	5.828000	0.397000	29.910000	33.433636	139.487167
231	18.202000	0.184000	6.216000	0.355000	28.143000	35.532814	154.242676
232	17.563999	0.215000	6.273000	0.345000	25.903000	38.605568	172.546249
233	20.655001	0.209000	6.328000	0.361000	28.257000	35.389462	152.716644
234	21.055000	0.224000	6.296000	1.101000	29.504999	33.892563	150.205643
235	17.773001	0.211000	6.300000	0.402000	26.315001	38.001141	171.883728
236	21.077000	0.251000	6.265000	1.132000	30.590000	32.690422	147.664474
237	15.334000	0.519000	6.326000	1.149000	27.559999	36.284470	176.313293
238	19.287001	0.406000	9.250000	0.383000	30.531000	32.753593	162.674698
239	16.430000	1.883000	6.242000	0.364000	24.275999	41.192951	189.331741
240	20.216000	0.507000	10.635000	0.459000	33.464001	29.882858	149.232758
241	13.340000	0.175000	5.842000	3.220000	24.247999	41.240517	233.856247
242	16.363001	0.364000	4.370000	2.726000	25.047001	39.924938	191.624268
243	19.757000	0.328000	11.190000	0.447000	32.966999	30.333364	161.517532
244	14.119000	0.190000	6.346000	2.553000	24.674999	40.526852	224.748230
245	18.198000	0.294000	6.376000	1.149000	27.673000	36.136307	174.138046
246	17.393000	0.248000	6.337000	1.093000	26.367001	37.926193	177.733414
247	19.523001	0.229000	6.285000	1.101000	28.128000	35.551762	162.615616
248	18.934999	0.240000	7.591000	0.407000	28.764999	34.764473	162.379639
249	19.334999	0.200000	6.297000	0.419000	27.271999	36.667645	164.011505
250	19.610001	0.200000	6.362000	0.383000	28.976999	34.510128	157.435562
251	21.914000	0.372000	6.262000	0.351000	30.142000	33.176300	148.666321
252	18.367001	0.196000	6.342000	0.300000	27.097000	36.904453	166.283173
253	19.430000	0.193000	6.293000	1.726000	29.113001	34.348915	160.804672
254	17.764999	0.511000	6.305000	2.036000	27.747999	36.038635	175.228714
255	18.896999	6.681000	6.280000	1.357000	28.690001	34.855350	165.799255
256	24.855000	0.235000	4.562000	0.365000	31.691999	31.553705	127.796410
257	21.853001	0.198000	5.974000	0.356000	29.459999	33.944332	144.584717
258	19.186001	0.181000	6.292000	0.382000	28.445000	35.155563	153.224442
259	19.745001	0.435000	6.569000	0.634000	28.153999	35.518932	160.771683
260	19.440002	0.225000	6.323000	1.113000	28.440002	35.161739	161.085541
261	19.805000	0.538000	6.257000	0.387000	27.893000	35.851288	157.459305
262	19.931000	0.243000	6.262000	1.138000	28.570000	35.001751	158.462616
263	19.396000	0.197000	6.314000	0.398000	28.121000	35.560612	162.303940
264	18.874001	0.247000	6.293000	0.461000	27.747000	36.039932	168.891281
265	19.087999	0.191000	6.275000	1.083000	28.318001	35.313229	166.424484
266	16.839001	6.787000	6.282000	0.738000	28.066000	35.630299	167.769989
267	25.733000	0.181000	4.626000	0.324000	32.043999	31.207092	122.128075
268	21.231001	0.208000	6.260000	0.348000	29.261000	34.175182	147.873520
269	19.952999	0.185000	6.306000	0.464000	27.917000	35.820469	155.939087
270	21.517000	0.363000	7.953000	0.473000	31.214001	32.036907	147.803772
271	16.127001	2.693000	2.279000	5.054000	25.723000	38.875713	180.945908
272	22.986000	0.090000	1.837000	0.411000	25.969999	38.505970	136.891220
273	25.165001	0.217000	5.930000	0.354000	32.511002	30.758818	124.599968
274	20.983999	0.271000	5.907000	0.346000	28.642000	34.913761	150.769363
275	19.263000	0.581000	6.300000	0.367000	27.934999	35.797386	158.047012
276	21.002001	0.351000	8.353000	0.401000	31.364000	31.883688	149.832169
277	17.728001	0.205000	6.307000	0.652000	26.002001	38.458580	179.350922
278	20.165001	0.305000	6.850000	0.359000	28.982000	34.504173	156.703339
279	18.451000	6.819000	6.353000	0.412000	26.740000	37.397160	168.220322
280	25.948999	0.377000	5.012000	0.381000	33.870998	29.523783	117.116058
281	21.018999	0.259000	6.354000	0.391000	29.018000	34.461369	150.320938
282	20.627001	0.199000	6.259000	0.512000	29.337999	34.085487	148.680420
283	20.209000	0.193000	6.344000	0.403000	28.009001	35.702808	156.141113
284	21.735001	0.444000	7.872000	0.456000	31.549000	31.696726	144.498047
