recvswapchain	sendcamera	alphaadd	copyintoswap	netframetime	fps	mbps
97.292999	1.324000	0.743000	0.832000	102.647003	9.742126	207.846359
96.834000	0.216000	0.722000	5.138000	106.400002	9.398496	209.080734
76.556000	0.421000	0.938000	0.782000	79.463997	12.584315	271.296448
94.103996	0.236000	0.712000	5.039000	103.246002	9.685605	216.527786
90.586998	0.255000	0.724000	2.260000	97.091003	10.299616	224.870682
98.642998	0.233000	0.734000	0.795000	102.210999	9.783683	208.546631
94.543999	0.233000	0.728000	0.785000	98.621002	10.139828	217.552322
84.916000	0.122000	0.588000	5.246000	94.305000	10.603891	237.126495
75.649002	0.289000	0.987000	0.830000	84.195000	11.877190	256.417877
98.580017	0.251000	0.723000	0.814000	102.833984	9.724412	207.596695
81.543999	0.245000	0.704000	0.751000	84.739998	11.800803	252.982925
81.253998	0.220000	0.712000	1.012000	87.660004	11.407711	244.629257
95.335999	0.213000	1.034000	3.176000	100.811996	9.919455	217.251465
83.655998	0.214000	0.706000	0.967000	89.361000	11.190564	241.161148
98.049004	0.305000	0.702000	0.807000	100.942001	9.906679	211.229721
81.143997	0.142000	0.526000	0.817000	83.528000	11.972034	255.419785
104.608002	0.217000	0.712000	0.749000	108.023003	9.257288	196.439911
82.737999	0.514000	0.954000	5.627000	92.378998	10.824971	247.310532
77.920998	0.246000	0.823000	0.838000	81.418999	12.282146	266.430237
95.856995	0.368000	1.292000	1.244000	104.945984	9.528711	206.948227
97.573997	0.234000	0.744000	0.790000	101.209999	9.880446	211.870712
80.886002	0.486000	0.845000	0.798000	86.254997	11.593532	249.140930
85.823997	0.225000	0.835000	0.776000	90.521004	11.047160	236.706940
96.820999	0.144000	0.668000	0.708000	100.453003	9.954904	211.593994
101.986000	0.640000	0.943000	5.788000	114.079002	8.765855	195.576508
76.720001	0.250000	0.961000	0.853000	80.264999	12.458731	270.112549
81.945999	1.502000	0.980000	0.737000	85.473999	11.699464	252.026688
83.613998	0.221000	0.945000	5.833000	92.285004	10.835997	247.422684
82.009003	0.205000	0.832000	0.805000	85.237000	11.731995	253.159012
86.182999	1.274000	0.843000	5.116000	95.224998	10.501444	236.898926
95.226990	0.230000	1.084000	4.611000	102.797974	9.727818	218.572800
81.352997	0.236000	0.815000	0.854000	84.910004	11.777175	254.591904
83.422997	0.700000	0.881000	0.744000	86.843002	11.515033	247.166107
99.891998	0.604000	1.185000	4.195000	108.059998	9.254118	205.180984
81.193001	0.210000	0.829000	0.770000	85.029999	11.760555	252.819489
98.913002	0.560000	0.735000	0.787000	106.542999	9.385881	199.951782
95.379997	0.217000	0.934000	2.935000	104.320999	9.585797	210.144409
88.815002	0.551000	0.728000	0.762000	100.206001	9.979443	213.773193
98.232002	0.245000	0.828000	0.774000	106.089996	9.425960	201.910446
100.875000	0.209000	0.850000	2.351000	106.406998	9.397878	205.225662
93.215027	0.212000	0.910000	5.171000	106.906982	9.353926	209.757538
91.075996	0.211000	0.743000	5.895000	111.012001	9.008035	201.798447
91.801003	0.208000	0.823000	5.708000	100.194000	9.980638	226.276733
92.628998	0.206000	0.824000	0.803000	95.539001	10.466929	224.255386
83.921997	0.250000	1.035000	5.951000	93.850998	10.655188	243.200455
91.148003	0.213000	1.073000	1.265000	96.363998	10.377319	224.897507
81.258003	0.242000	0.966000	1.116000	85.249001	11.730343	255.011429
81.466003	0.321000	0.861000	1.071000	87.452003	11.434844	248.391830
92.709999	0.204000	0.705000	0.772000	95.311996	10.491858	224.066391
98.082001	0.225000	1.132000	4.573000	105.144997	9.510676	211.563782
89.664001	0.265000	0.977000	1.543000	97.664001	10.239187	224.931702
82.897003	0.236000	0.963000	1.572000	94.378998	10.595577	231.871094
77.528000	0.211000	1.085000	1.033000	85.750000	11.661808	256.525726
80.502998	0.513000	0.750000	0.781000	83.209999	12.017786	258.705231
100.500000	0.233000	0.951000	6.460000	111.275002	8.986745	204.802017
91.239998	0.239000	0.946000	6.242000	102.181000	9.786555	224.690353
92.832001	0.166000	0.662000	1.688000	96.277000	10.386697	224.209320
93.820000	0.292000	1.267000	6.349000	107.051003	9.341342	214.656174
92.528999	0.595000	1.145000	6.601000	102.639999	9.742790	224.512787
78.316002	0.202000	0.744000	0.779000	81.906998	12.208969	265.590790
98.375000	0.216000	0.733000	6.084000	109.757996	9.110953	206.449600
95.788002	0.238000	0.762000	6.716000	106.769997	9.365927	215.878571
86.745003	0.249000	1.052000	6.450000	99.592003	10.040967	233.692459
91.217003	0.222000	0.964000	6.462000	102.266998	9.778325	226.035019
92.757004	0.217000	1.018000	6.191000	103.403000	9.670899	222.634979
73.096001	0.235000	0.964000	0.825000	80.543999	12.415574	272.419128
92.292999	0.244000	1.265000	6.240000	108.485001	9.217864	212.243744
91.310997	1.096000	0.733000	5.554000	100.462997	9.953914	226.429932
78.809998	0.243000	0.949000	1.454000	84.827003	11.788699	258.411835
99.656998	0.220000	0.970000	6.238000	109.385002	9.142021	207.306091
91.500977	0.340000	0.575000	6.033000	108.109009	9.249923	210.385315
78.233002	0.232000	0.951000	6.201000	94.482002	10.584026	246.463959
88.875000	0.230000	0.936000	6.455000	101.184998	9.882888	228.998016
73.267998	0.209000	0.982000	1.098000	77.814003	12.851157	282.737946
