drawtime	alpharemove	copytime
8.354000	1.162000	12.459000
10.044000	0.865000	2.223000
8.164000	0.835000	2.243000
8.167000	0.847000	2.030000
7.902000	0.988000	2.258000
11.722000	1.022000	2.191000
8.207000	0.799000	2.510000
7.777000	0.806000	2.669000
9.974000	0.814000	3.295000
10.023000	1.194000	1.957000
8.337000	1.442000	2.282000
7.250000	1.586000	2.730000
16.035000	0.990000	15.969000
7.767000	0.834000	2.871000
8.181000	0.831000	2.105000
7.911000	0.852000	2.462000
11.414000	0.809000	2.106000
7.342000	0.935000	6.361000
7.936000	1.190000	3.352000
6.360000	1.196000	1.936000
8.104000	1.172000	2.750000
7.699000	0.972000	3.167000
8.441000	0.977000	1.970000
7.264000	0.981000	3.055000
10.886000	0.955000	2.592000
15.314000	0.967000	2.617000
8.162000	0.975000	4.091000
7.661000	0.969000	2.291000
7.869019	0.763000	2.512000
8.500000	0.752000	2.037000
12.434000	0.764000	2.097000
8.852000	0.926000	2.444000
7.729000	1.461000	2.193000
12.519000	1.658000	2.360000
9.037000	1.490000	2.007000
7.515000	1.200000	2.213000
6.325000	0.984000	3.668000
7.268000	1.307000	8.688000
7.476000	1.504000	8.571000
8.072000	1.502000	8.702000
8.073000	1.456000	2.238000
6.114000	1.474000	2.102000
7.545000	1.459000	2.295000
11.422000	1.181000	2.005000
8.014000	1.183000	2.361000
7.317000	1.197000	2.154000
6.604000	1.191000	2.966000
7.795000	1.231000	6.084000
7.997000	1.216000	1.968000
5.844000	1.242000	1.903000
7.380000	1.195000	2.011000
13.858000	1.192000	1.907000
13.181000	1.212000	1.883000
9.826000	1.601000	2.816000
7.536000	1.448000	9.573000
8.083000	1.586000	9.834000
7.980000	0.884000	5.680000
7.740000	0.833000	2.112000
7.386000	0.826000	2.507000
9.277000	0.820000	2.107000
8.079000	0.831000	2.426000
11.008000	0.906000	2.792000
7.521000	0.905000	2.492000
7.394000	0.994000	2.458000
7.497000	1.001000	2.213000
9.777000	0.866000	2.317000
7.474000	0.870000	2.741000
7.164000	0.732000	2.064000
9.609000	0.814000	2.253000
7.227000	1.207000	2.738000
7.544000	1.465000	1.974000
8.301000	1.456000	7.521000
7.558000	1.452000	2.134000
5.958000	0.957000	2.481000
7.211000	0.837000	2.292000
7.785000	0.847000	1.978000
7.716000	0.928000	3.890000
7.490000	1.571000	2.050000
9.578000	1.484000	2.040000
8.100000	1.445000	7.555000
8.047000	1.468000	2.074000
9.394000	1.480000	3.334000
10.327000	1.444000	2.774000
7.753000	1.456000	7.907000
7.616000	1.596000	2.547000
6.100000	1.439000	3.192000
