framenum	recvswapchain	sendcamera	alphaadd	copyintoswap	netframetime	fps	mbps
457	20.549000	0.128000	2.485000	0.377000	24.591000	40.665283	90.123215
458	16.514000	0.180000	2.570000	0.402000	22.285000	44.873234	102.394310
459	13.859000	0.192000	3.700000	0.753000	20.167000	49.585957	127.416008
460	16.089001	1.305000	3.165000	0.343000	21.837000	45.793835	109.570793
461	21.674999	1.380000	1.116000	0.334000	25.357000	39.436840	81.741982
462	23.777000	0.086000	1.119000	0.384000	28.356001	35.265903	72.512688
463	15.983000	0.509000	3.154000	0.485000	21.788000	45.896824	107.726463
464	15.655000	0.217000	3.265000	0.321000	21.198000	47.174263	111.892189
465	25.764999	0.173000	2.231000	0.375000	30.282000	33.022919	69.749489
466	15.986000	0.175000	3.190000	0.319000	21.188999	47.194302	111.036148
467	18.201000	0.220000	2.549000	0.350000	22.591000	44.265415	99.664764
468	23.028000	0.154000	2.522000	0.357000	27.795000	35.977695	77.969543
469	16.836000	0.237000	3.694000	0.379000	22.462999	44.517654	107.827309
470	13.546000	4.135000	3.685000	2.485000	21.830000	45.808521	128.088943
471	17.000000	0.186000	3.698000	0.283000	22.299000	44.845062	107.200180
472	15.811000	0.175000	3.725000	0.412000	22.033001	45.386463	112.239662
473	16.462000	0.241000	3.780000	0.613000	22.281000	44.881290	110.477104
474	15.467000	0.173000	3.693000	1.664000	21.858999	45.747749	121.888634
475	16.533001	0.602000	3.713000	0.611000	22.552000	44.341965	111.264030
476	13.910000	0.482000	3.684000	0.867000	21.695000	46.093571	114.221985
477	13.566000	0.242000	3.699000	1.527000	22.870001	43.725403	113.497543
478	15.325000	3.001000	3.877000	1.601000	22.040001	45.372047	121.583115
479	16.320000	0.217000	3.709000	0.340000	22.733999	43.986980	106.839783
480	15.891000	0.475000	3.772000	0.707000	21.841999	45.783356	114.137100
481	16.042000	2.339000	2.047000	2.893000	21.981001	45.493835	117.633545
482	17.291000	0.133000	1.905000	1.594000	23.034000	43.414082	106.555672
483	16.358999	0.208000	3.689000	0.304000	22.184000	45.077534	108.762604
484	14.633000	0.175000	3.699000	1.321000	22.396999	44.648838	115.924530
485	11.764000	0.177000	3.753000	1.327000	22.646000	44.157909	115.713470
486	14.214000	0.289000	3.798000	2.641000	22.263000	44.917576	128.994339
487	14.926000	0.196000	3.719000	2.028000	22.042000	45.367935	125.039009
488	19.278015	0.235000	3.033000	0.338000	23.836975	41.951633	95.875282
489	26.573999	0.208000	2.239000	0.444000	30.798000	32.469639	69.119133
490	15.729000	4.108000	3.702000	0.703000	22.010000	45.433895	113.967728
491	17.929001	0.215000	3.164000	0.305000	23.357000	42.813717	98.288277
492	21.931000	0.180000	2.474000	0.393000	27.384001	36.517673	78.584526
493	21.912001	0.148000	2.493000	0.405000	27.330000	36.589828	80.753555
494	16.195999	0.184000	3.702000	0.352000	21.802999	45.865250	113.413734
495	18.457001	0.197000	3.124000	0.331000	23.792999	42.029171	95.985001
496	14.433000	0.632000	3.755000	0.433000	20.035999	49.910164	127.574745
497	13.124000	0.180000	3.715000	1.318000	19.672001	50.833672	135.380096
498	16.325001	0.187000	3.696000	0.614000	22.662001	44.126732	109.129669
499	13.798000	1.023000	3.704000	0.412000	22.479000	44.485966	112.417664
500	27.618999	0.135000	2.246000	0.538000	31.840000	31.407036	66.519905
501	15.678000	0.223000	3.731000	0.362000	21.329000	46.884521	114.306984
502	12.649000	0.474000	4.103000	1.131000	21.865000	45.735195	126.168793
503	11.332000	0.435000	7.489000	0.475000	22.691000	44.070335	139.890717
504	10.035000	0.230000	3.706000	3.521000	19.565001	51.111679	164.204895
505	9.595000	0.461000	3.722000	3.494000	19.732000	50.679100	166.956512
506	9.010000	0.379000	7.477000	1.197000	23.823999	41.974480	157.713699
507	9.249000	0.181000	3.711000	4.270000	19.959999	50.100204	176.029037
