recvswapchain	sendcamera	alphaadd	copyintoswap	netframetime	fps	mbps
22.691000	0.238000	0.176000	0.386000	24.291000	41.167511	186.322952
22.806999	0.212000	0.156000	0.492000	25.042000	39.932915	180.269226
23.778999	0.328000	0.270000	0.400000	25.664000	38.965088	176.253799
22.862000	0.240000	0.154000	0.392000	24.740000	40.420372	184.016907
23.232000	0.210000	0.222000	0.384000	26.035000	38.409832	173.848190
23.174000	0.217000	0.155000	0.387000	24.792000	40.335594	180.948486
45.398998	0.279000	0.394000	0.659000	47.902000	20.875956	92.415497
24.792000	0.203000	0.273000	0.426000	28.632000	34.925957	159.926498
27.823999	0.152000	0.138000	0.393000	29.377001	34.040234	151.902267
29.702000	0.175000	0.145000	0.370000	31.389999	31.857281	143.502090
23.528000	0.167000	0.137000	0.441000	25.959000	38.522285	174.998734
29.844000	0.178000	0.217000	0.497000	31.743000	31.503008	141.446991
23.851990	0.150000	0.133000	0.427000	26.359009	37.937695	171.282181
24.962000	0.173000	0.216000	0.405000	27.510000	36.350418	162.287140
22.997999	0.184000	0.153000	0.366000	25.325001	39.486671	177.791382
30.141001	0.154000	0.138000	0.386000	31.780001	31.466330	140.236298
26.660000	0.165000	0.180000	0.437000	28.698999	34.844421	158.224564
21.235001	0.157000	0.143000	0.370000	26.230000	38.124287	170.360458
23.997000	0.145000	0.122000	0.377000	27.063999	36.949455	163.827148
23.792999	0.124000	0.278000	1.230000	26.223000	38.134464	176.521896
25.016001	0.144000	0.205000	0.260000	26.535000	37.686077	167.310867
23.927999	0.208000	0.175000	0.546000	25.664000	38.965088	175.285080
25.035999	0.203000	0.189000	0.416000	26.750999	37.381783	167.431580
24.365999	0.218000	0.181000	0.382000	26.107000	38.303902	172.377762
25.316999	0.221000	0.184000	0.397000	27.122000	36.870438	166.067245
24.740000	0.206000	0.180000	0.417000	26.389999	37.893143	169.882477
23.941999	0.186000	0.153000	0.371000	25.473000	39.257252	175.469131
24.448999	0.200000	0.152000	0.383000	26.209000	38.154835	173.013077
