framenum	recvswapchain	sendcamera	alphaadd	copyintoswap	netframetime	fps	mbps
83	13.290000	0.223000	3.732000	1.203000	19.278999	51.869911	141.079224	
84	12.084000	0.237000	3.720000	1.477000	18.691000	53.501686	148.957489	
85	11.775000	0.193000	3.744000	0.339000	18.285000	54.689636	141.133224	
86	17.544001	0.444000	3.689000	0.433000	23.024000	43.432938	103.637894	
87	19.820000	0.211000	2.947000	0.347000	24.296000	41.159039	93.582458	
88	20.608999	0.208000	2.568000	0.309000	24.677999	40.521923	88.743378	
89	16.497999	0.210000	3.405000	0.337000	23.191000	43.120174	100.222931	
90	18.278000	0.251000	3.169000	0.353000	23.757000	42.092857	96.715286	
91	17.277000	0.222000	3.384000	0.345000	23.091000	43.306915	101.901810	
92	17.775999	0.225000	3.340000	0.384000	23.313000	42.894524	100.086876	
93	16.351999	0.204000	3.477000	0.343000	22.841999	43.779007	103.173798	
94	18.860001	0.178000	2.403000	0.575000	24.347000	41.072823	91.274635	
95	17.643999	0.249000	3.165000	0.465000	23.695999	42.201218	100.798431	
96	18.672001	0.204000	2.666000	0.349000	24.228001	41.274559	91.605782	
97	18.551001	2.122000	1.661000	1.167000	22.355000	44.732723	98.889420	
98	26.393999	0.197000	2.232000	0.378000	31.240999	32.009220	67.613075	
99	18.121000	0.208000	3.394000	0.336000	22.965000	43.544525	102.331787	
100	17.326000	0.214000	3.676000	0.342000	22.499001	44.446419	105.906693	
101	16.511000	0.314000	3.689000	0.414000	22.412001	44.618954	106.858360	
102	15.325000	0.261000	3.712000	0.415000	22.106001	45.236584	111.029457	
103	26.407000	0.199000	2.467000	0.369000	31.327999	31.920328	69.712555	
104	19.642000	0.232000	2.589000	0.378000	24.784000	40.348610	89.728363	
105	17.805000	0.219000	3.308000	0.370000	23.412001	42.713139	100.179352	
106	19.448999	0.230000	2.971000	0.362000	24.099001	41.495495	95.044609	
107	19.931000	0.178000	2.480000	0.388000	24.952000	40.076950	89.056381	
108	27.976013	0.188000	2.507000	0.354000	32.934021	30.363739	63.875755	
109	19.218000	0.239000	3.003000	0.316000	23.962999	41.731003	94.552170	
110	20.552999	0.184000	2.473000	0.357000	25.500000	39.215687	86.571785	
111	22.591000	0.192000	2.470000	0.374000	27.159000	36.820206	80.024307	
112	19.888000	0.187000	2.434000	0.329000	23.891001	41.856766	92.279961	
113	19.084000	0.240000	2.549000	0.324000	24.945000	40.088196	88.284317	
114	19.364000	0.223000	3.559000	0.330000	25.670000	38.955978	89.693428	
115	18.469999	0.228000	3.696000	0.404000	24.752001	40.400776	95.418549	
116	18.452999	0.233000	4.235000	0.401000	24.587999	40.670246	98.398460	
117	18.990999	0.211000	3.697000	0.390000	24.083000	41.523067	98.820503	
118	23.853001	0.190000	1.885000	0.367000	28.906000	34.594894	71.873657	
119	19.122999	0.207000	3.937000	0.988000	26.083000	38.339149	93.255760	
120	17.292999	2.979000	4.107000	0.400000	23.080000	43.327557	107.896736	
121	18.246000	0.199000	3.683000	0.481000	25.164000	39.739311	93.782433	
122	18.341999	0.304000	3.232000	0.879000	26.684999	37.474236	88.199821	
123	15.070000	0.204000	3.715000	0.413000	21.101999	47.388874	116.591820	
124	12.108000	3.290000	4.394000	1.587000	20.136999	49.659832	143.708084	
125	15.459000	0.224000	3.733000	0.379000	20.823999	48.021515	120.234833	
126	11.831000	0.190000	3.719000	0.406000	19.503000	51.274162	129.021408	
127	10.867000	0.198000	3.754000	0.406000	17.375000	57.553955	153.395462	
128	16.730000	0.314000	4.466000	0.446000	22.908001	43.652870	111.540085	
129	18.299999	0.206000	3.739000	0.433000	23.756001	42.094627	101.615311	
130	17.466999	0.241000	5.553000	0.414000	25.775000	38.797283	98.985016	
131	16.788000	0.208000	3.699000	0.440000	22.558001	44.330170	108.188057	
132	19.476000	0.214000	3.285000	0.408000	28.184000	35.481125	79.434578	
133	16.927000	0.181000	3.714000	0.347000	23.148001	43.200275	102.496796	
134	16.094999	4.152000	3.759000	0.336000	22.792000	43.875046	108.302483	
135	21.896000	0.182000	2.329000	0.367000	26.663000	37.505157	80.817299	
136	19.549000	0.157000	2.036000	0.313000	24.330000	41.101521	93.284065	
137	19.146000	0.186000	2.783000	0.344000	24.625999	40.607491	90.035172	
138	18.839001	0.138000	1.485000	0.303000	24.851000	40.239830	86.604324	
139	19.044001	1.202000	2.287000	0.330000	24.468000	40.869705	88.953224	
140	20.510000	0.135000	2.497000	0.307000	25.047001	39.924938	88.611122	
141	19.187000	0.205000	3.727000	0.348000	24.267000	41.208225	96.786385	
142	17.923000	0.179000	3.257000	0.303000	23.229000	43.049637	99.246170	
143	19.023001	0.180000	2.459000	0.333000	23.683001	42.224380	94.223488	
