drawtime	alpharemove	copytime
6.284000	3.664000	1.778000
6.297974	3.653000	0.980000
6.022000	3.745000	0.994000
6.076000	3.674000	1.004000
6.058000	3.657000	1.024000
6.220000	3.658000	1.031000
6.716000	3.653000	1.128000
7.586000	3.664000	1.145000
6.642000	3.666000	0.981000
6.229000	3.670000	0.918000
6.513000	3.672000	1.012000
6.265000	3.720000	1.046000
6.631000	3.702000	0.873000
7.327000	3.707000	0.737000
7.063000	3.712000	0.959000
6.339000	3.687000	1.020000
6.613000	3.667000	1.239000
6.006000	3.732000	1.042000
5.858000	3.681000	1.017000
5.554000	3.671000	1.003000
6.126000	3.672000	1.234000
5.249000	3.687000	1.005000
5.590000	3.686000	1.021000
6.546000	3.668000	1.092000
7.158000	3.678000	1.078000
7.000000	3.668000	1.067000
7.360000	3.708000	0.843000
8.290000	3.681000	1.065000
7.828000	3.710000	1.071000
8.835000	3.688000	1.111000
8.159000	3.669000	1.319000
7.646000	3.688000	0.933000
6.063000	3.693000	0.962000
5.495000	3.703000	0.964000
5.238000	3.655000	1.196000
5.168030	3.700000	1.076000
5.182000	3.699000	0.917000
5.454000	3.676000	1.817000
4.929000	3.753000	1.082000
5.181000	3.702000	0.930000
4.926000	3.684000	1.941000
5.044000	3.753000	0.900000
5.187000	3.704000	0.916000
5.340000	3.699000	1.014000
5.711000	3.673000	1.246000
5.152000	3.671000	1.063000
5.624000	3.644000	1.066000
6.140000	3.667000	0.932000
6.755000	3.683000	0.890000
6.771000	3.667000	1.206000
6.814000	3.737000	1.081000
7.303000	3.674000	1.139000
7.966000	3.682000	0.944000
7.538000	3.676000	0.859000
7.263000	3.695000	0.908000
7.044000	3.667000	1.093000
7.854000	3.680000	1.067000
7.404000	3.680000	0.927000
7.552000	3.673000	1.099000
6.784000	3.665000	1.087000
7.623000	3.800000	0.874000
7.109000	3.655000	1.152000
6.663000	3.699000	1.075000
6.815000	3.680000	1.005000
6.555000	3.670000	0.933000
6.508000	3.662000	1.693000
6.589000	3.685000	0.962000
6.433000	3.674000	1.035000
7.579000	3.672000	1.141000
6.528000	3.717000	0.941000
6.529000	3.753000	0.909000
6.396000	3.694000	1.061000
6.669000	3.722000	1.053000
6.671000	3.684000	1.093000
6.442000	3.702000	1.154000
6.466000	3.696000	1.138000
6.393000	3.655000	1.059000
6.776000	3.719000	0.936000
6.897000	3.663000	1.197000
6.497000	3.667000	0.938000
6.439000	3.667000	1.056000
6.859000	3.682000	1.096000
6.371000	3.716000	1.078000
6.352000	3.714000	1.078000
6.514000	3.716000	0.928000
7.861000	3.704000	1.128000
7.271000	3.777000	1.046000
6.348000	3.694000	1.043000
6.701000	3.711000	1.065000
7.002000	3.698000	1.219000
6.388000	3.704000	1.070000
6.343000	3.673000	1.095000
6.892000	3.703000	1.329000
6.983000	3.749000	0.940000
6.517000	3.667000	0.889000
6.888000	3.695000	1.150000
6.374000	3.699000	1.078000
6.467000	3.714000	0.953000
6.972000	3.716000	1.145000
6.528000	3.703000	0.933000
6.503000	3.745000	0.956000
6.762000	3.707000	0.957000
7.584000	3.212000	0.848000
7.484000	3.173000	0.898000
6.411000	3.695000	1.138000
6.481000	3.695000	1.029000
7.139000	3.822000	1.667000
7.714000	3.895000	0.978000
7.439000	3.710000	1.135000
6.940000	3.650000	1.220000
8.319000	3.754000	0.982000
6.831000	3.709000	1.003000
6.620000	3.637000	1.242000
8.259000	3.688000	0.904000
7.407000	3.682000	0.939000
6.780000	3.661000	0.987000
6.578000	3.680000	0.911000
6.651000	3.697000	0.898000
7.053000	3.669000	1.204000
6.622000	4.060000	1.260000
6.415000	3.639000	1.036000
6.921000	3.686000	1.188000
6.942000	3.681000	0.963000
6.958000	3.672000	0.951000
7.416000	3.671000	0.982000
7.149000	2.917000	0.825000
6.671000	3.332000	0.765000
7.973000	3.678000	0.895000
6.476000	3.700000	0.958000
7.150000	1.828000	0.725000
7.231000	1.740000	1.597000
7.099000	1.596000	1.606000
6.449000	1.527000	0.697000
8.370000	1.516000	0.662000
7.623000	1.504000	1.649000
6.463000	1.534000	0.707000
7.259000	3.730000	1.708000
5.956000	3.645000	2.543000
6.416000	3.991000	0.818000
5.855000	3.612000	1.055000
6.771000	3.714000	1.141000
6.383000	3.956000	1.051000
6.048000	3.717000	1.003000
6.143000	3.971000	1.188000
6.211000	3.643000	1.113000
6.816000	3.687000	1.263000
5.876000	3.675000	1.186000
6.554000	3.727000	1.097000
6.806000	3.636000	1.050000
5.999000	3.709000	1.168000
5.973000	3.589000	0.831000
5.893000	1.604000	0.744000
5.900000	3.709000	1.639000
5.968000	3.632000	1.101000
6.562000	3.739000	1.175000
6.078000	3.678000	1.063000
6.155000	3.686000	0.931000
6.045000	3.673000	1.080000
6.312000	3.660000	1.053000
6.388000	3.704000	1.284000
6.255000	3.658000	1.086000
6.831000	3.620000	1.052000
6.197000	3.758000	1.060000
6.153000	3.630000	0.931000
6.607000	3.732000	1.127000
6.064000	3.679000	1.067000
6.796000	3.705000	1.148000
6.313000	3.626000	1.045000
6.861000	3.634000	0.966000
6.166000	3.707000	1.039000
5.959000	3.664000	1.073000
6.990000	3.739000	1.053000
6.110000	3.700000	1.713000
6.294000	3.675000	0.963000
6.401000	3.701000	1.020000
6.788000	3.671000	0.761000
6.189000	3.668000	0.959000
6.003000	3.677000	1.056000
6.893000	3.673000	1.118000
6.093000	3.669000	1.058000
6.063000	3.665000	1.707000
6.386000	5.881000	0.833000
6.559000	3.724000	1.107000
6.731000	3.751000	0.835000
