drawtime	alpharemove	copytime
5.989000	3.606000	1.354000
6.394000	3.548000	1.092000
6.496000	3.642000	0.815000
6.170000	3.845000	0.852000
6.645000	3.653000	0.771000
5.915000	3.528000	0.931000
5.976000	3.675000	0.838000
6.086000	3.587000	1.448000
5.900000	3.590000	0.757000
6.240000	3.935000	0.830000
6.302000	3.520000	0.968000
5.975000	3.600000	0.759000
6.230000	3.644000	0.973000
6.597000	3.801000	0.614000
6.480000	3.710000	1.061000
6.669000	3.797000	0.619000
5.965000	3.819000	0.629000
5.921000	3.729000	0.610000
6.204000	3.776000	0.794000
6.847000	3.519000	0.835000
5.960000	3.698000	0.927000
6.437000	3.792000	0.839000
6.742000	3.520000	0.823000
6.288000	3.504000	0.813000
6.560000	3.533000	1.206000
7.207000	3.522000	0.777000
5.967000	3.626000	0.593000
6.194000	4.087000	0.789000
6.813000	3.529000	0.972000
6.389000	3.556000	0.620000
5.929000	3.597000	0.713000
7.054000	3.556000	0.601000
5.943000	3.553000	0.634000
6.611000	3.597000	0.803000
6.629000	3.525000	0.627000
5.906000	3.554000	0.871000
5.960000	3.539000	0.625000
6.106000	3.579000	0.945000
7.173000	3.510000	0.849000
5.965000	3.651000	0.617000
6.767000	3.556000	0.599000
5.926000	3.579000	0.842000
6.165000	3.560000	0.895000
6.681000	3.542000	0.815000
5.945000	3.565000	0.616000
5.904000	3.583000	0.705000
6.807000	3.510000	0.832000
6.721000	3.532000	0.775000
6.235000	3.539000	0.839000
6.690000	3.575000	0.671000
5.924000	3.556000	0.779000
6.378000	3.538000	0.691000
5.874000	3.583000	0.769000
5.891000	3.556000	1.542000
5.923000	3.572000	0.668000
5.907000	3.569000	0.706000
6.617000	3.540000	0.768000
5.961000	3.669000	0.843000
6.117000	3.543000	0.737000
5.975000	3.538000	1.370000
6.262000	3.528000	0.968000
6.270000	4.017000	0.736000
6.575000	3.555000	0.841000
6.225000	3.597000	0.828000
5.936000	3.569000	0.799000
6.195000	3.773000	0.764000
6.152000	3.556000	0.770000
5.920000	3.546000	0.794000
5.878000	3.526000	1.360000
6.288000	3.525000	0.911000
5.838000	3.601000	0.770000
5.927000	3.580000	1.307000
6.786000	3.534000	0.795000
5.938000	3.549000	0.791000
6.358000	3.526000	0.864000
7.260000	3.541000	0.756000
5.935000	3.536000	0.761000
5.885000	3.553000	1.563000
6.840000	3.518000	0.786000
6.664000	3.552000	0.757000
5.877000	3.553000	0.758000
5.923000	3.578000	1.292000
6.571000	3.529000	0.996000
6.335000	3.542000	0.876000
5.908000	3.557000	0.692000
6.689000	3.574000	1.008000
6.218000	3.564000	0.766000
5.940000	3.517000	0.773000
7.008000	3.554000	0.848000
6.533000	3.546000	0.621000
6.568000	3.574000	0.776000
6.161000	3.554000	0.780000
6.260000	3.532000	0.887000
5.981000	3.544000	1.397000
6.591003	3.586000	0.787000
5.973000	3.539000	0.656000
6.671000	3.545000	0.795000
6.356000	3.549000	0.679000
6.167000	3.534000	0.779000
6.200000	3.531000	1.231000
6.462000	3.530000	0.888000
6.236000	3.896000	0.800000
7.248000	3.613000	0.821000
6.205000	3.563000	0.905000
5.857000	4.078000	0.739000
6.587000	3.793000	0.736000
6.323000	3.766000	0.892000
6.738000	3.753000	0.655000
6.689000	3.720000	0.752000
6.184000	3.533000	0.725000
6.701000	3.499000	0.866000
6.323000	3.520000	0.710000
6.130000	3.522000	0.648000
5.901000	3.540000	0.699000
6.554000	3.549000	0.817000
5.922000	3.612000	0.626000
6.813000	3.574000	1.148000
5.967000	3.557000	0.707000
6.132000	3.552000	1.026000
6.521000	3.564000	0.785000
6.311000	3.571000	1.399000
5.962000	3.551000	0.849000
5.964000	3.540000	0.566000
5.891000	3.567000	0.760000
6.717000	3.620000	1.023000
5.915000	3.633000	0.761000
6.234000	3.809000	0.848000
6.972000	3.522000	0.840000
6.339000	3.597000	1.181000
6.715000	3.531000	0.871000
5.954000	3.635000	0.753000
6.318000	3.825000	0.840000
7.091000	3.506000	0.773000
6.166000	3.626000	0.728000
6.098000	3.517000	1.310000
6.912000	3.823000	0.633000
5.858000	3.904000	1.097000
6.149000	3.514000	0.865000
5.969000	3.743000	0.748000
6.096000	3.500000	1.216000
5.898000	3.507000	0.756000
6.461000	3.970000	0.850000
5.938000	3.525000	0.747000
6.274000	3.496000	1.023000
6.274000	3.496000	0.649000
5.856000	3.551000	1.076000
5.870000	3.640000	1.612000
6.583000	3.784000	0.876000
6.266000	3.638000	0.983000
5.894000	4.162000	0.656000
6.808000	3.654000	0.775000
6.274000	3.531000	0.795000
6.025000	3.514000	0.770000
6.491000	3.658000	1.580000
6.958000	3.524000	0.736000
6.057000	3.630000	0.739000
6.371000	3.599000	1.627000
6.128000	3.558000	0.919000
6.355000	3.824000	0.733000
6.118000	3.586000	1.468000
6.642000	3.643000	0.759000
6.202000	3.739000	0.738000
