recvswapchain	sendcamera	alphaadd	copyintoswap	netframetime	fps	mbps
22.551001	0.194000	3.122000	0.439000	27.349001	36.564407	139.134140
22.205999	0.179000	3.134000	0.402000	27.448000	36.432526	139.109436
28.017000	0.149000	2.842000	0.384000	32.404999	30.859436	111.379524
25.851000	0.138000	3.055000	0.367000	30.722000	32.549965	118.776390
25.695000	0.151000	3.202000	0.360000	30.372999	32.923981	121.277237
25.645000	0.191000	3.274000	0.429000	30.523001	32.762180	121.554817
25.830000	0.146000	3.134000	0.381000	30.462999	32.826710	121.592545
25.233999	0.133000	3.145000	0.375000	30.422001	32.870949	121.080414
26.285000	0.132000	2.872000	0.349000	30.479000	32.809475	119.228333
26.079000	0.121000	3.459000	0.337000	30.747999	32.522442	117.059181
27.832001	0.150000	2.517000	0.377000	31.756001	31.490112	112.677193
26.888000	0.193000	2.693000	0.318000	30.916000	32.345711	116.450127
26.430000	0.174000	2.897000	0.359000	30.611000	32.667995	119.853127
25.856001	0.153000	3.136000	0.356000	30.638000	32.639206	120.000000
22.170000	0.179000	3.137000	0.348000	26.514999	37.714500	142.164154
24.393999	0.199000	3.155000	0.361000	28.767000	34.762054	129.017166
26.156000	0.139000	3.118000	0.347000	31.070000	32.185387	116.424171
24.530001	0.107000	1.327000	0.309000	26.965000	37.085110	128.193756
22.164000	0.205000	3.194000	0.528000	27.319000	36.604561	138.244064
27.990000	0.158000	3.041000	0.375000	32.570999	30.702160	112.374115
28.101000	0.140000	2.324000	0.377000	31.809999	31.436655	111.542084
26.799000	0.139000	2.777000	0.361000	31.575001	31.670624	113.691078
27.718000	0.146000	2.559998	0.551000	31.731018	31.514904	113.378448
25.142000	0.142000	3.181000	0.344000	30.174999	33.140018	121.705894
25.812000	0.135000	2.780000	0.369000	29.972000	33.364475	122.870361
26.436001	0.168000	2.875000	0.444000	31.014999	32.242462	118.435196
24.867001	0.132000	3.134000	0.435000	29.964001	33.373379	123.334648
25.761000	0.148000	3.086000	0.470000	30.320000	32.981529	121.611427
24.587999	0.169000	3.163000	0.368000	29.872999	33.475044	125.332596
25.722000	0.187000	3.114000	0.390000	30.240999	33.067692	122.342651
24.493999	0.146000	3.140000	0.477000	31.856001	31.391260	112.737999
26.805000	0.139000	2.231000	0.342000	30.377001	32.919643	117.401268
26.528999	0.142000	2.820000	0.401000	31.010000	32.247662	116.619156
26.475000	0.162000	2.801000	0.350000	30.639999	32.637077	118.064812
24.695000	0.166000	3.134000	0.379000	29.270000	34.164673	127.417053
24.396999	0.183000	3.250000	0.438000	29.795000	33.562679	125.412849
23.719999	0.178000	3.110000	0.461000	28.474001	35.119759	132.006577
26.165001	0.119000	2.599000	0.316000	30.305000	32.997856	117.528976
28.261999	0.139000	2.185000	0.439000	31.983000	31.266611	110.871140
25.374001	0.129000	1.902000	0.350000	29.087999	34.378437	120.642204
24.313999	0.202000	3.166000	0.407000	28.763000	34.766888	129.187378
21.356001	0.177000	3.117000	0.383000	25.783001	38.785244	147.455994
23.622999	0.183000	3.208000	0.400000	28.695000	34.849277	130.440430
24.245001	0.176000	3.143000	0.356000	28.693001	34.851704	129.070312
24.388000	0.192000	3.148000	0.415000	29.042000	34.432892	130.039841
26.167999	0.128000	2.958000	0.328000	30.361000	32.936993	119.779816
25.261000	0.126000	3.121000	0.312000	30.223000	33.087383	120.540100
24.791000	0.116000	1.435000	0.333000	27.329000	36.591167	126.736771
26.915001	0.150000	3.115000	0.373000	32.125999	31.127436	113.173691
25.046000	0.195000	3.222000	0.387000	29.818001	33.536789	125.032524
22.969999	0.193000	3.140000	0.412000	27.528000	36.326649	137.088852
22.891001	0.190000	3.156000	0.411000	27.450001	36.429871	137.136856
23.382999	0.196000	3.129000	0.499000	28.724001	34.814091	130.543671
23.700001	0.190000	3.150000	0.409000	28.232000	35.420799	132.772873
