recvswapchain	sendcamera	alphaadd	copyintoswap	netframetime	fps	mbps
16.301001	0.131000	0.083000	4.331000	23.016001	43.448036	136.283478
15.614000	0.104000	0.081000	4.334000	22.753000	43.950249	138.331650
15.380000	0.153000	0.085000	2.840000	22.318001	44.806881	130.438934
18.462999	0.114000	0.061000	0.241000	21.407000	46.713692	120.170166
20.158001	0.110000	0.058000	0.227000	21.896000	45.670441	116.650841
20.695000	0.127000	0.064000	0.241000	22.347000	44.748737	114.291039
20.496000	0.120000	0.056000	0.252000	21.291000	46.968201	120.129051
20.469000	0.177000	0.083000	0.259000	22.070000	45.310375	116.033997
21.191999	0.131000	0.067000	0.244000	22.773001	43.911648	112.935989
19.982000	0.129000	0.083000	0.236000	21.503000	46.505138	119.306770
21.021000	0.106000	0.063000	0.236000	22.886000	43.694836	111.978859
20.075001	0.214000	0.120000	0.431000	23.627001	42.324459	111.248932
18.617001	0.247000	0.130000	0.426000	20.837000	47.991554	127.813606
20.820999	0.219000	0.097000	0.312000	22.219000	45.006527	117.763199
19.792000	0.223000	0.100000	0.574000	21.665001	46.157394	124.504791
20.885000	0.262000	0.122000	0.320000	22.459999	44.523598	118.353012
19.275000	0.220000	0.099000	0.326000	21.549999	46.403713	122.488045
21.353001	0.206000	0.098000	0.359000	22.822001	43.817368	116.165634
19.497000	0.229000	0.100000	0.434000	20.958000	47.714478	127.047150
20.093000	0.247000	0.122000	0.250000	21.523001	46.461922	122.256500
20.445000	0.306000	0.096000	0.351000	22.266001	44.911522	120.223076
19.204000	0.449000	0.103000	1.542000	21.907000	45.647511	128.818542
19.576000	0.418000	0.124000	0.481000	22.080000	45.289856	121.711578
20.455999	0.381000	0.369000	0.411000	22.681000	44.089767	119.690254
22.850000	0.220000	0.101000	0.346000	24.532000	40.763084	106.796463
20.354000	0.257000	0.130000	0.335000	22.052000	45.347363	120.500130
21.493999	0.187000	0.098000	0.324000	22.931000	43.609089	115.689880
20.856001	0.515000	0.108000	0.410000	23.385000	42.762455	113.978294
19.726000	0.226000	0.091000	0.305000	21.090000	47.415836	125.247177
19.811001	0.240000	0.092000	0.251000	21.257999	47.041115	123.933441
18.332001	0.223000	0.098000	0.395000	21.674000	46.138229	123.113922
19.718000	0.334000	0.303000	0.535000	22.438000	44.567253	124.814621
17.497000	0.236000	0.103000	1.909973	21.135010	47.314857	135.434814
19.063999	0.231000	0.097000	1.081000	21.329000	46.884521	128.710602
18.764000	0.309000	0.146000	0.391000	21.493999	46.524612	122.781769
20.649000	0.218000	0.098000	0.333000	22.214001	45.016655	118.684509
22.277000	0.214000	0.121000	0.360000	23.849001	41.930477	110.151947
17.497000	0.296000	0.146000	1.630000	21.848000	45.770782	130.252289
20.510000	0.237000	0.095000	0.352000	22.139999	45.167118	119.289398
22.122000	0.187000	0.074000	0.405000	23.545000	42.471863	111.724335
19.334000	1.289000	0.075000	1.031000	21.377001	46.779247	127.588013
22.610001	0.155000	0.091000	0.305000	23.875000	41.884815	129.062073
20.837000	0.506000	0.218000	0.360000	22.746000	43.963772	117.667343
20.495001	0.169000	0.074000	0.321000	22.002001	45.450413	120.399773
20.233999	0.232000	0.096000	0.421000	21.906000	45.649593	120.831902
19.802999	0.214000	0.092000	0.332000	21.171000	47.234425	124.555275
22.243000	0.784000	0.125000	0.635000	24.438999	40.918205	110.782555
18.634001	0.278000	0.153000	0.277000	20.747999	48.197418	133.819778
20.632999	0.219000	0.098000	0.360000	22.058001	45.335026	119.988289
21.243999	0.188000	0.114000	0.338000	23.289000	42.938728	113.232582
22.281000	0.163000	0.071000	0.299000	23.698999	42.195873	112.589340
17.900999	0.192000	0.082000	0.721000	19.721001	50.707367	137.480438
19.153999	0.254000	0.179000	0.398000	21.806000	45.858940	123.163284
24.291000	0.266000	0.135000	0.360000	25.993000	38.471897	101.177437
19.794001	0.227000	0.098000	0.343000	21.695000	46.093571	122.390442
18.173000	0.217000	0.096000	0.321000	20.808001	48.058437	128.508682
17.381001	0.222000	0.099000	0.268000	20.997000	47.625851	125.669884
20.844999	0.224000	0.098000	0.348000	22.313999	44.814915	118.644402
35.293999	0.218000	0.167000	0.379000	36.926998	27.080458	69.772598
16.900999	0.212000	0.098000	0.319000	21.431999	46.659203	123.429276
23.181999	0.220000	0.185000	0.377000	25.037001	39.940887	106.750069
20.782000	0.204000	0.092000	0.298000	22.153000	45.140614	118.919975
21.607000	0.176000	0.084000	0.326000	25.896000	38.616001	100.936424
19.688999	0.222000	0.100000	0.366000	22.058001	45.335026	120.950844
19.396000	0.194000	0.085000	0.330000	20.701000	48.306843	127.501953
20.430000	0.203000	0.097000	0.343000	22.870001	43.725403	115.891739
20.298000	0.218000	0.100000	0.334000	21.620001	46.253468	121.880585
20.780001	0.543000	0.110000	0.395000	22.344999	44.752743	118.764801
21.132999	0.189000	0.089000	0.324000	22.655001	44.140366	116.473938
25.982000	0.187000	0.138000	0.381000	27.702000	36.098476	94.330788
21.386999	0.129000	0.065000	0.284000	22.618000	44.212574	114.728539
20.514000	0.211000	0.085000	0.339000	23.730000	42.140751	109.596870
20.895000	0.219000	0.092000	0.385000	22.361000	44.720718	117.492950
21.263000	0.161000	0.087000	0.318000	26.531000	37.691757	98.508904
19.356001	0.179000	0.096000	0.381000	25.761000	38.818371	101.440552
17.789978	0.229000	0.097000	0.345000	21.007019	47.603138	126.192719
20.384001	0.254000	0.129000	0.390000	23.136999	43.220818	115.174820
21.254000	0.252000	0.196000	0.383000	23.040001	43.402775	116.193100
20.575001	0.156000	0.076000	0.299000	23.288000	42.940571	112.157722
21.058001	0.219000	0.103000	0.364000	22.535000	44.375416	118.210678
36.536999	0.239000	0.233000	0.370000	38.341999	26.081060	67.066917
40.736000	0.151000	0.086000	0.349000	59.591000	16.781057	42.476410
32.941002	0.163000	0.069000	0.339000	34.407001	29.063852	74.502083
18.452000	0.221000	0.097000	0.348000	19.892000	50.271465	133.572479
19.469999	0.210000	0.095000	0.332000	20.788000	48.104675	126.804611
22.163000	0.130000	0.071000	0.297000	28.003000	35.710461	92.276505
18.794001	0.154000	0.085000	0.277000	20.076000	49.810719	129.129898
20.796000	0.218000	0.094000	0.254000	23.701000	42.192310	111.002716
19.367001	0.117000	0.062000	0.265000	20.429001	48.950020	129.116318
19.584999	0.498000	0.095000	0.338000	20.870001	47.915665	125.240807
21.381001	0.165000	0.083000	0.324000	25.010000	39.984005	104.681183
19.509001	0.534000	0.104000	0.381000	21.139999	47.303692	126.147217
18.992001	0.252000	0.113000	0.363000	22.785999	43.886597	117.403145
21.065001	0.186000	0.079000	0.433000	22.711000	44.031525	116.894981
19.907000	0.618000	0.109000	0.585000	21.730000	46.019329	124.719627
21.702999	0.192000	0.128000	0.485000	23.370001	42.789902	113.825211
19.374001	0.230000	0.101000	0.366000	21.042999	47.521744	128.697113
16.459000	0.165000	0.142000	0.327000	22.028000	45.396767	119.830322
20.419001	0.227000	0.096000	0.434000	22.511999	44.420753	118.564262
18.777000	0.222000	0.101000	0.352000	20.275000	49.321827	132.828888
18.632000	0.253000	0.148000	0.405000	20.292999	49.278076	132.599548
20.083000	0.289000	0.148000	0.485000	21.877001	45.710106	123.058441
19.525000	0.252000	0.101000	0.523000	21.372999	46.788006	125.567139
20.437000	0.243000	0.096000	0.349000	21.927999	45.603794	120.802208
19.576000	0.716000	0.161000	0.387000	22.056000	45.339138	122.990692
19.709999	0.222000	0.107000	0.365000	21.278999	46.994690	124.315857
20.392000	0.679000	0.096000	0.501000	22.132999	45.181404	122.092514
21.820999	0.179000	0.078000	0.319000	24.061001	41.561031	108.868614
18.167000	0.340000	0.154000	0.358000	22.063999	45.322701	121.711578
21.728001	0.225000	0.101000	0.388000	23.389000	42.755142	114.953934
21.306999	0.174000	0.085000	0.374000	22.937000	43.597679	115.040024
17.714001	0.277000	0.104000	0.268000	20.502001	48.775726	133.001404
24.990999	0.185000	0.084000	0.413000	26.489000	37.751518	98.631462
17.646000	0.264000	0.115000	0.405000	19.440001	51.440327	139.043854
17.681999	0.241000	0.128000	0.406000	20.705000	48.297512	130.820831
19.857000	0.246000	0.110000	0.552000	22.275000	44.893379	121.916862
19.851990	0.237000	0.111000	0.353000	21.500977	46.509514	125.644188
19.153999	0.225000	0.096000	0.372000	20.698000	48.313847	130.176392
17.795000	0.245000	0.121000	0.353000	20.712999	48.278862	129.805115
19.045000	0.222000	0.101000	0.352000	20.468000	48.856750	130.995163
17.712999	0.588000	0.104000	0.492000	20.799999	48.076923	129.702347
19.395000	0.224000	0.099000	0.409000	22.594999	44.257580	116.490501
16.583000	0.189000	0.099000	0.328000	19.767000	50.589367	135.606705
19.584000	0.152000	0.118000	0.351000	20.944000	47.746372	127.416016
18.605000	0.287000	0.133000	0.377000	20.229000	49.433979	133.463669
17.627001	0.196000	0.091000	0.462000	20.888000	47.874378	128.361023
24.337999	0.163000	0.133000	0.386000	25.999001	38.463017	100.787399
17.027000	0.314000	0.324000	0.370000	19.135000	52.260254	145.549316
19.250999	0.197000	0.095000	0.453000	20.757000	48.176517	129.627106
16.176001	0.194000	0.094000	0.351000	20.224001	49.446201	132.958237
19.254000	0.214000	0.130000	0.389000	20.931999	47.773746	128.933426
16.620001	0.588000	0.115000	0.477000	20.888000	47.874378	128.987579
19.139999	0.196000	0.092000	0.353000	21.351000	46.836216	125.406960
18.014999	0.212000	0.098000	0.369000	19.495001	51.295200	138.957367
17.271000	0.209000	0.136000	0.375000	18.951000	52.767662	144.862961
19.398001	0.458000	0.078000	0.380000	20.868000	47.920261	127.634392
18.712999	0.377000	0.073000	0.415000	21.907000	45.647511	121.237244
16.775000	0.142000	0.121000	0.331000	20.440001	48.923679	133.608795
16.087000	0.650000	0.147000	0.494000	19.004000	52.620502	143.358810
20.061001	0.189000	0.096000	0.420000	21.584000	46.330616	127.647644
15.584000	0.196000	0.094000	0.357000	20.358999	49.118328	131.415436
17.520000	0.185000	0.097000	0.357000	19.691999	50.782043	136.359100
16.489000	0.521000	0.095000	0.420000	20.775000	48.134777	130.855652
19.797001	0.142000	0.075000	0.386000	23.181000	43.138779	114.418747
19.884001	0.524000	0.123000	0.452000	21.535000	46.436035	125.298264
17.968000	0.244000	0.201000	0.869000	20.410999	48.993191	136.784119
17.422001	0.194000	0.098000	0.386000	19.011000	52.601128	144.149231
18.802999	0.187000	0.095000	0.393000	20.364000	49.106266	133.073425
17.688000	0.211000	0.134000	0.517000	19.664000	50.854355	141.225143
19.325001	0.150000	0.205000	0.295000	21.002001	47.614510	127.980011
18.343000	0.230000	0.111000	2.933000	22.399000	44.644852	136.094818
19.195999	0.412000	0.104000	2.442000	22.929001	43.612892	128.294022
18.121000	0.137000	0.075000	0.287000	25.004000	39.993603	105.803345
17.770000	0.324000	0.080000	1.962000	22.802999	43.853878	123.268295
17.490000	0.123000	0.105000	2.767000	22.344000	44.754745	132.470901
15.689000	0.238000	0.111000	3.797000	22.861000	43.742619	137.765564
20.254999	0.169000	0.126000	0.809000	22.097000	45.255013	121.687477
17.197001	0.392000	0.408000	2.914000	21.597000	46.302727	142.643219
18.332001	0.198000	0.108000	1.519000	21.718000	46.044754	129.640778
18.868000	0.221000	0.136000	1.552000	21.872000	45.720558	129.640778
18.615000	0.228000	0.130000	1.636000	21.587000	46.324177	132.157455
20.660000	0.198000	0.094000	0.344000	22.209999	45.024765	120.671715
20.168030	0.191000	0.123000	0.342000	21.668030	46.150944	122.463669
20.837000	0.194000	0.094000	0.384000	22.531000	44.383293	119.672775
20.625999	0.150000	0.115000	0.317000	22.847000	43.769421	114.717827
24.910999	0.142000	0.085000	0.724000	27.021999	37.006886	98.154808
18.924000	0.203000	0.136000	0.338000	21.697001	46.089321	122.769516
20.186001	0.214000	0.131000	0.383000	22.375000	44.692738	119.058243
19.517000	0.203000	0.120000	1.264000	21.987000	45.481422	126.798065
20.201000	0.621000	0.098000	0.301000	21.398001	46.733337	123.317780
21.676001	0.129000	0.087000	0.291000	22.855000	43.754105	113.951874
21.124001	0.153000	0.138000	0.525000	22.892000	43.683384	116.739510
22.014999	0.161000	0.111000	0.324000	23.594000	42.383656	113.138756
21.121000	0.148000	0.072000	0.306000	22.559000	44.328205	118.029015
20.113001	0.169000	0.124000	0.492000	21.875000	45.714287	122.726601
19.726000	0.334000	0.904000	0.444000	22.732000	43.990849	123.416862
18.892000	0.192000	0.098000	1.274000	21.347000	46.844990	131.683014
18.499001	0.239000	0.099000	0.276000	21.722000	46.036278	121.808090
18.431000	0.302000	0.130000	1.703000	21.379000	46.774872	134.736847
16.615999	0.204000	0.126000	0.357000	22.344000	44.754745	122.044014
20.156000	0.171000	0.085000	0.317000	23.542000	42.477276	112.630623
