framenum	recvswapchain	sendcamera	alphaadd	copyintoswap	netframetime	fps	mbps
0	27.075001	0.147000	2.012000	0.308000	30.917000	32.344666	111.748924	
1	27.424000	0.116000	2.094000	0.325000	30.441000	32.850433	114.656227	
2	29.080999	0.108000	1.822000	0.315000	31.837999	31.409008	108.034752	
3	27.014999	0.130000	2.044000	0.301000	30.645000	32.631752	112.900482	
4	26.674000	0.106000	2.176000	0.296000	29.683001	33.689316	117.348518	
5	26.908001	0.125000	2.127000	0.324000	29.888000	33.458244	116.380928	
6	27.452000	0.119000	1.976000	0.286000	30.837000	32.428577	111.677238	
7	26.127991	0.138000	1.961000	0.303000	31.424988	31.821810	109.453720	
8	26.503000	0.137000	1.933000	0.320000	31.039000	32.217533	111.166138	
9	24.827000	0.137000	2.252000	0.353000	29.136000	34.321800	120.916878	
10	19.205999	0.155000	2.287000	2.718000	26.601999	37.591160	149.567535	
11	18.245001	0.131000	2.291000	4.328000	25.989000	38.477818	166.486374	
12	17.341000	0.094000	2.263000	0.261000	21.392000	46.746449	170.536636	
13	22.823000	0.119000	2.262000	0.321000	26.804001	37.307865	132.268463	
14	21.740999	0.111000	2.262000	0.253000	24.747999	40.407307	144.578049	
15	19.858999	0.144000	2.263000	0.298000	23.584999	42.399834	152.642242	
16	18.889000	0.133000	2.255000	0.259000	22.580999	44.285019	160.343887	
17	27.712000	0.120000	2.009000	0.265000	30.545000	32.738583	113.341537	
18	26.355000	0.117000	2.109000	0.274000	29.981001	33.354458	116.165199	
19	26.006001	0.130000	2.130000	0.303000	30.254000	33.053482	115.246613	
20	27.837999	0.118000	1.997000	0.330000	30.750000	32.520325	112.867950	
21	24.580000	0.107000	2.162000	0.314000	29.853001	33.497471	117.537788	
22	22.639999	0.188000	2.290000	0.316000	26.827999	37.274490	133.371933	
23	20.391001	0.142000	2.265000	0.270000	25.965000	38.513382	137.178879	
24	20.427000	0.131000	2.258000	0.274000	27.365000	36.543030	129.011856	
25	28.360001	0.114000	1.837000	0.266000	32.727001	30.555809	104.139053	
26	29.125999	0.143000	1.962000	0.332000	32.063000	31.188599	107.804306	
27	29.982000	0.121000	2.277000	0.322000	33.146999	30.168644	104.702774	
28	23.784000	0.134000	2.300000	0.312000	28.531000	35.049595	124.057335	
29	25.471001	0.134000	2.193000	0.385000	28.614000	34.947926	123.252174	
30	20.855000	0.114000	2.265000	0.283000	23.947001	41.758884	150.544830	
31	18.707001	0.147000	2.270000	0.259000	23.013000	43.453701	157.056778	
32	20.704000	0.101000	2.261000	0.277000	24.301001	41.150570	148.076187	
33	21.238001	0.110000	2.278000	0.258000	24.298000	41.155651	147.594925	
34	23.138000	0.110000	2.262000	0.251000	26.180000	38.197098	135.793716	
35	18.804001	0.126000	2.299000	0.254000	22.382000	44.678761	161.985107	
36	21.100000	0.116000	2.295000	0.271000	24.171000	41.371891	148.765137	
37	28.177999	0.120000	2.216000	0.273000	33.458000	29.888218	102.907814	
38	20.343000	0.146000	2.275000	0.305000	26.987000	37.054878	131.790054	
39	25.702999	0.241000	5.197000	0.376000	33.191002	30.128647	118.533768	
40	21.646000	0.200000	6.075000	0.359000	29.254000	34.183361	144.418121	
41	19.892000	0.182000	6.319000	0.355000	27.982000	35.737259	154.144058	
42	18.726000	0.231000	6.892000	0.545000	27.624001	36.200405	167.268448	
43	17.823975	0.214000	6.249000	0.474000	25.770996	38.803310	178.543716	
44	22.273001	0.254000	4.182000	0.400000	28.857000	34.653637	136.592850	
45	21.934000	0.200000	4.235000	0.358000	29.554001	33.836365	133.190521	
46	24.907000	0.170000	4.208000	0.448000	30.653999	32.622169	127.241127	
47	22.966000	0.196000	4.219000	0.374000	31.371000	31.876574	122.534019	
48	23.365999	0.395000	4.217000	0.382000	29.910999	33.432518	130.500198	
49	25.579000	0.166000	3.495000	0.353000	30.448000	32.842880	122.841461	
50	27.174000	0.192000	4.219000	0.381000	32.842999	30.447889	115.412155	
51	26.193001	0.161000	4.253000	0.401000	33.598000	29.763678	112.044624	
52	27.122999	0.158000	4.220000	0.482000	33.401001	29.939222	113.002266	
53	23.969999	0.195000	4.237000	0.400000	31.146000	32.106853	123.485321	
54	24.509001	0.173000	4.248000	0.383000	30.677000	32.597713	126.272011	
55	25.964001	0.162000	4.228000	0.364000	31.608000	31.637560	121.160011	
56	19.639999	0.269000	5.514000	0.375000	26.847000	37.248108	158.542801	
57	18.493999	0.231000	5.977000	0.360000	26.030001	38.417210	170.416061	
58	19.177000	0.247000	5.696000	0.581000	26.797001	37.317608	165.091675	
59	20.573999	0.273000	5.153000	0.377000	27.770000	36.010082	149.739075	
60	19.569000	0.268000	4.972000	0.390000	27.860001	35.893753	150.040207	
61	25.659000	0.395000	4.260000	0.416000	31.544001	31.701750	122.567574	
62	25.023001	0.204000	4.292000	0.389000	31.475000	31.771246	123.392937	
