framenum	drawtime	copytime
266	6.177000	0.729000
267	6.259000	0.809000
268	6.068000	1.214000
269	6.390000	0.985000
270	6.103000	0.816000
271	6.424000	0.953000
272	6.856000	0.659000
273	6.133000	0.923000
274	6.124000	0.869000
275	6.353000	0.974000
276	6.223000	1.000000
277	6.176000	1.013000
278	6.769000	1.451000
279	6.605000	0.877000
280	6.443000	0.876000
281	6.756000	0.900000
282	7.183000	1.088000
283	6.690000	0.893000
284	6.539000	0.908000
285	6.960000	0.813000
286	6.175000	0.853000
287	6.321000	0.838000
288	6.929000	1.141000
289	6.870000	0.946000
290	7.085000	1.008000
291	6.463000	0.991000
292	6.483000	0.707000
293	6.170000	0.988000
294	6.358000	0.853000
295	6.832000	0.976000
296	7.013000	0.945000
297	6.182000	0.974000
298	6.596000	0.928000
299	7.270000	0.984000
300	7.001000	0.919000
301	6.084000	0.964000
302	6.139000	1.248000
303	6.305000	0.936000
304	7.323000	0.953000
305	6.483000	1.055000
306	5.832000	0.821000
307	5.541000	0.817000
308	5.998000	0.877000
309	6.493000	0.624000
310	6.611000	0.744000
311	6.162000	0.933000
312	6.132000	0.945000
313	6.273000	0.939000
314	6.531000	0.926000
315	5.644000	0.788000
316	6.128000	0.824000
317	5.620000	0.843000
318	5.829000	0.727000
319	5.874000	0.967000
320	5.921000	0.934000
321	5.650000	0.802000
322	5.761000	0.830000
323	6.502000	1.208000
324	6.101000	0.885000
325	5.648000	0.977000
326	6.006000	0.948000
327	6.074000	1.463000
328	6.038000	0.729000
329	5.628000	0.967000
330	6.709000	0.930000
331	6.473000	0.995000
332	6.107000	0.967000
333	7.025000	0.983000
334	6.187000	0.984000
335	5.959000	0.919000
336	5.919000	0.843000
337	6.836000	1.297000
338	6.227000	1.258000
339	6.029000	0.979000
340	6.938000	0.990000
341	7.022000	0.969000
342	6.037000	1.399000
343	6.136000	0.896000
344	6.569000	0.965000
345	5.719000	1.456000
346	5.835000	0.795000
347	6.505000	0.903000
348	6.335000	0.875000
349	5.782000	0.965000
350	5.611000	1.018000
351	6.669000	1.245000
352	6.098000	1.517000
353	6.028015	0.780000
354	5.989000	0.986000
355	6.056000	1.623000
356	5.620000	0.855000
357	5.596000	1.006000
358	6.442000	1.002000
359	5.659000	1.025000
360	5.832000	0.964000
361	6.101000	0.851000
362	6.247000	1.247000
363	5.951000	0.974000
364	5.932000	0.977000
365	6.515000	1.276000
366	6.424000	1.051000
367	6.062000	0.854000
368	6.347000	0.989000
369	5.966000	0.827000
370	6.252000	0.773000
371	6.648000	0.837000
372	5.877000	1.715000
373	6.124000	0.878000
374	5.706000	1.378000
375	5.783000	1.105000
376	6.181000	0.909000
377	6.108000	0.900000
378	6.045000	0.831000
379	6.693000	0.961000
380	6.659000	0.960000
381	7.107000	1.067000
382	6.548000	0.799000
383	6.773000	0.997000
384	6.795000	0.824000
385	6.706000	0.739000
386	7.330000	1.030000
387	6.580000	0.774000
388	6.711975	0.700000
389	7.395000	0.905000
390	7.390000	0.822000
391	6.444000	0.865000
392	6.672000	0.953000
393	7.182000	1.021000
394	6.391000	0.821000
395	6.367000	0.840000
396	6.627000	0.984000
397	7.623000	0.778000
398	6.328000	1.054000
399	6.320000	0.958000
400	6.717000	0.921000
401	6.360000	0.952000
402	6.437000	0.907000
403	7.251000	0.828000
404	6.676000	1.779000
405	6.745000	0.925000
406	6.862000	0.862000
407	7.023000	1.205000
408	6.689000	1.536000
409	6.742000	0.827000
410	6.949000	0.828000
411	7.329000	0.816000
412	6.413000	0.881000
413	6.910000	1.021000
414	6.503000	0.816000
415	6.556000	0.798000
416	6.707000	0.852000
417	7.050000	0.995000
418	6.371000	0.817000
419	6.447000	0.819000
420	6.762000	1.571000
421	6.694000	0.814000
422	6.348999	0.700000
423	6.624000	0.970000
424	6.796000	1.184000
425	6.489000	0.779000
426	6.375000	0.808000
427	6.609000	1.701000
428	6.701000	0.861000
429	6.312000	1.007000
430	7.300000	0.960000
431	6.635000	0.747000
432	6.375000	0.962000
433	6.446000	0.985000
434	6.880000	0.848000
435	6.584000	1.038000
436	6.713000	0.939000
437	6.317000	0.984000
438	7.180000	1.089000
439	6.302000	0.864000
440	6.525000	0.995000
441	6.727000	0.879000
442	6.485000	1.007000
443	6.553000	1.033000
444	6.425000	0.970000
445	7.702000	1.068000
446	6.383000	1.575000
447	6.346000	1.011000
448	6.695000	0.958000
449	6.374000	0.960000
450	6.751000	1.135000
451	6.405000	0.884000
452	6.338000	0.956000
453	6.191000	0.981000
454	6.033000	0.983000
455	6.789000	0.986000
456	6.165000	0.924000
457	6.450000	0.935000
458	6.202000	0.847000
459	6.157000	0.955000
460	6.064000	0.974000
461	6.863000	1.124000
462	6.571000	0.947000
463	6.561000	0.812000
464	6.825000	0.858000
465	6.826000	0.851000
466	6.442000	0.964000
467	6.049000	0.809000
468	6.463000	0.840000
469	6.252000	0.738000
470	5.736000	0.587000
471	5.376000	0.745000
472	5.567000	0.666000
473	4.752000	0.826000
474	4.318000	0.976000
475	4.205000	0.718000
476	4.524000	0.954000
477	4.165000	0.874000
478	4.091000	0.999000
479	4.178000	0.779000
480	4.346000	1.015000
481	4.274000	0.833000
482	5.041000	0.826000
483	4.502000	0.953000
484	4.835000	0.994000
485	4.010000	1.709000
486	4.233000	0.813000
487	4.018000	1.253000
488	4.026000	0.888000
489	4.082000	0.833000
490	4.816000	1.031000
491	4.644000	0.846000
492	4.174000	0.817000
493	4.095000	0.821000
494	4.126000	0.915000
495	4.819000	0.830000
496	4.647000	0.918000
497	4.362000	0.786000
498	4.097000	0.798000
499	4.201000	1.133000
500	4.687000	0.859000
501	4.071000	0.831000
502	4.214000	0.907000
503	5.552000	0.861000
504	4.039000	0.994000
505	4.038000	0.825000
506	5.144000	0.852000
507	4.236000	0.814000
508	4.218000	0.804000
509	4.389000	0.773000
510	4.023000	0.832000
511	5.171000	0.860000
512	4.561000	0.863000
513	4.208000	1.129000
514	4.227000	0.839000
515	4.244000	1.023000
516	4.339000	1.560000
517	4.590000	1.164000
518	4.349000	0.698000
519	4.325000	0.909000
520	4.299000	0.813000
521	4.227000	1.019000
522	4.470000	0.949000
523	4.275000	0.839000
524	4.366000	1.048000
525	4.137000	0.952000
526	4.149000	1.012000
527	4.863000	0.957000
528	4.511000	0.986000
529	4.235000	0.962000
530	4.822000	0.994000
531	4.141000	1.327000
532	4.804000	0.902000
533	5.280000	0.915000
534	4.176000	0.941000
535	4.179000	0.956000
536	4.236000	1.015000
537	4.298000	0.967000
538	4.869000	0.931000
539	4.279000	0.874000
540	4.965000	0.996000
541	5.035000	0.896000
542	4.224000	1.321000
543	4.881000	1.288000
544	4.548000	1.437000
545	4.224000	0.961000
546	4.198000	0.961000
547	5.003000	1.032000
548	4.249000	1.022000
549	4.163000	1.029000
550	4.560000	0.956000
551	4.619000	1.076000
552	4.200000	1.002000
553	4.294000	0.970000
554	4.937000	1.213000
555	4.879000	0.858000
556	4.151000	0.972000
557	4.333000	0.897000
558	4.628000	1.326000
559	4.183000	0.849000
560	4.245000	0.811000
561	4.342000	1.007000
562	4.365000	0.798000
563	4.417000	0.993000
564	4.301000	0.801000
565	4.760000	1.043000
566	4.281000	0.835000
567	4.685000	0.945000
568	4.349000	0.986000
569	5.298000	0.952000
570	4.483000	0.790000
571	4.327000	0.823000
572	4.879000	0.983000
573	4.308000	0.976000
574	4.758000	0.901000
575	4.509000	0.922000
576	4.718000	0.959000
577	5.084000	0.840000
578	4.133000	0.993000
579	4.081000	0.837000
580	3.864000	0.865000
581	3.927000	0.844000
582	4.136000	1.222000
583	4.465000	0.950000
584	4.799000	1.483000
585	4.379000	0.831000
586	4.237000	0.842000
587	5.623000	0.918000
588	4.231000	0.840000
589	4.229000	0.977000
590	4.273000	0.836000
591	4.723000	1.014000
592	4.851000	1.332000
593	4.183000	0.828000
594	4.559000	1.166000
595	4.888000	0.989000
596	4.166000	0.850000
597	4.266000	1.018000
598	5.446000	0.960000
599	4.162000	0.838000
600	4.458000	0.659000
601	4.152000	0.841000
602	4.190000	1.251000
603	5.064000	0.897000
604	4.143000	0.819000
605	4.603000	0.966000
606	4.169000	1.654000
607	4.572000	0.881000
608	4.308000	0.892000
609	4.504000	1.205000
610	4.227000	0.752000
611	4.056000	1.037000
612	4.054000	0.733000
613	4.478000	0.542000
614	4.564000	0.634000
615	3.925000	0.681000
616	3.957000	1.334000
617	4.544000	0.930000
618	4.103000	1.505000
619	4.055000	0.982000
620	4.088000	1.004000
621	4.359000	0.903000
622	4.147000	0.986000
623	4.361000	0.990000
624	4.265000	0.992000
625	4.336000	0.984000
626	4.543000	1.717000
627	4.354000	0.844000
628	4.385000	0.985000
629	4.402000	0.970000
630	4.795000	0.935000
631	4.594000	0.859000
632	4.676000	0.908000
633	4.673000	0.960000
634	4.296000	0.781000
635	4.282000	0.975000
636	4.932000	1.093000
637	4.289000	0.973000
638	4.290000	1.007000
639	4.744000	0.974000
640	4.265000	0.971000
641	4.570000	1.024000
642	4.297000	0.978000
643	5.281000	0.761000
644	4.271000	1.203000
645	4.342000	0.825000
646	4.536000	0.887000
647	5.014000	0.910000
648	4.311000	0.986000
649	4.467000	1.014000
650	4.407000	0.858000
651	5.105000	0.888000
652	4.469000	0.949000
653	4.267000	0.947000
654	4.577000	0.950000
655	4.278000	0.956000
656	4.430000	0.976000
657	4.372000	0.840000
658	4.625000	0.881000
659	5.303000	0.878000
660	4.379000	0.881000
661	4.368000	0.977000
662	5.408000	0.762000
663	4.275000	1.021000
664	4.314000	1.003000
665	4.623000	1.615000
666	4.744000	0.909000
667	4.985000	0.968000
668	4.266000	0.963000
669	5.203000	1.006000
670	5.027000	0.981000
671	4.280000	1.097000
672	4.204000	0.822000
673	4.290000	0.972000
674	5.248000	0.905000
675	4.264000	1.101000
676	4.625000	0.833000
677	4.210000	1.832000
678	4.324000	1.088000
679	4.331000	0.973000
680	5.111000	0.883000
