framenum	recvswapchain	sendcamera	alphaadd	copyintoswap	netframetime	fps	mbps
83	17.181000	0.184000	3.690000	0.342000	22.667999	44.115055	103.953514	
84	18.296000	0.189000	3.659000	0.420000	24.455000	40.891434	95.015205	
85	16.187000	0.201000	3.713000	0.371000	23.094000	43.301292	102.542412	
86	16.632000	0.201000	3.699000	0.329000	24.403000	40.978569	94.590981	
87	16.551001	0.209000	3.229000	0.440000	24.093000	41.505833	97.046280	
88	21.788000	0.169000	2.467000	0.352000	25.903999	38.604076	84.099098	
89	16.225000	0.240000	3.650000	0.352000	23.035999	43.410316	102.811249	
90	19.757000	0.196000	2.784000	0.474000	24.611000	40.632236	91.116707	
91	17.052999	0.204000	3.574000	0.345000	23.100000	43.290043	102.099380	
92	18.976000	3.243000	2.796000	0.491000	24.825001	40.281971	90.601646	
93	20.115000	0.211000	2.523000	0.349000	24.572001	40.696728	89.619293	
94	20.100000	0.237000	2.782000	0.473000	24.851999	40.238213	93.606216	
95	16.473000	0.251000	3.085000	0.424000	22.445000	44.553352	104.153236	
96	18.979000	0.253000	2.511000	0.336000	24.893999	40.170322	89.942902	
97	19.358999	3.424000	3.005000	0.378000	24.073000	41.540314	94.756325	
98	22.716999	0.175000	2.479000	0.468000	27.048000	36.971310	80.675797	
99	18.330000	0.197000	2.514000	0.350000	25.240999	39.618084	87.513054	
100	20.076000	0.259000	2.718000	0.353000	24.673000	40.530132	91.710625	
101	18.385000	0.350000	2.952000	0.775000	24.517000	40.788025	95.250893	
102	19.981001	0.290000	3.159973	0.342000	26.515991	37.713093	84.904884	
103	17.250000	0.328000	3.709000	0.356000	23.634001	42.311924	104.117950	
104	19.316999	0.219000	3.725000	0.404000	24.768999	40.373047	94.761192	
105	17.627001	0.238000	3.727000	0.371000	24.173000	41.368469	98.183556	
106	20.606001	0.146000	2.047000	0.519000	24.431999	40.929928	89.069290	
107	20.985001	0.210000	3.443000	0.326000	25.941000	38.549015	100.130371	
108	19.531000	0.233000	3.722000	0.432000	24.903000	40.155804	93.758583	
109	17.283001	0.237000	3.685000	0.326000	22.320999	44.800861	107.325027	
110	20.030001	0.305000	3.685000	0.274000	25.174999	39.721947	92.261490	
111	17.445999	2.373000	3.861000	0.464000	23.052000	43.380184	105.772972	
112	19.597000	0.246000	3.524000	0.371000	24.808001	40.309578	94.324745	
113	16.436001	2.777000	3.848000	0.494000	23.034000	43.414082	107.243835	
114	21.947001	0.205000	2.882000	0.387000	26.667000	37.499531	83.987968	
115	17.941999	0.652000	3.760000	0.399000	23.858000	41.914661	101.191322	
116	18.837999	0.227000	3.754000	0.667000	24.565001	40.708324	97.544449	
117	16.653999	4.264000	3.761000	0.465000	22.181000	45.083630	109.583824	
118	21.301001	0.245000	2.808000	0.332000	26.613001	37.575619	82.844170	
119	18.704000	0.231000	3.714000	0.449000	25.340000	39.463299	92.497612	
120	20.129000	0.195000	3.693000	0.381000	25.368999	39.418190	92.879822	
121	17.950001	4.229000	3.715000	0.402000	23.417999	42.702198	102.400002	
122	20.775999	0.205000	3.371000	0.342000	26.927000	37.137447	83.942062	
123	18.799000	0.190000	3.731000	0.362000	24.830999	40.272240	94.868492	
124	17.017000	0.792000	3.718000	0.363000	23.170000	43.159256	104.377365	
125	18.483999	0.200000	3.731000	0.387000	24.525999	40.773060	98.105171	
126	19.256001	0.204000	3.733000	0.396000	25.410000	39.354584	92.632416	
127	19.565001	0.188000	3.681000	0.363000	25.316000	39.500710	92.196869	
128	19.889000	0.240000	3.714000	0.364000	25.403999	39.363880	92.132355	
129	18.299999	0.182000	3.369000	0.363000	24.726000	40.443260	92.725624	
130	18.223000	0.220000	3.707000	0.436000	23.937000	41.776329	100.622330	
131	15.869000	0.215000	3.671000	0.264000	22.120001	45.207954	108.852539	
132	15.666000	0.182000	3.686000	0.358000	21.423000	46.678802	114.406311	
133	15.599000	0.182000	3.722000	0.334000	22.608000	44.232132	104.709419	
134	15.893000	0.193000	3.726000	0.428000	22.125999	45.195698	110.470482	
135	16.098000	0.626000	3.703000	0.648000	21.834999	45.798031	115.329742	
136	14.533000	0.379000	3.698000	0.354000	21.618000	46.257748	113.128342	
137	18.325001	0.392000	3.698000	0.346000	24.046000	41.586960	97.730637	
138	16.740000	0.627000	3.695000	0.442000	21.955000	45.547710	112.301224	
139	19.423000	0.190000	3.664000	0.356000	24.468000	40.869705	95.443245	
140	16.813999	0.740000	3.749000	0.486000	22.590000	44.267376	107.187721	
141	18.532000	0.191000	3.671000	0.386000	23.723000	42.153187	101.141342	
142	17.997999	1.695000	3.643000	0.368000	23.874001	41.886570	100.141258	
143	18.658997	0.233000	3.587000	0.338000	23.745972	42.112408	98.873360	
144	16.598000	0.149000	2.238000	0.355000	21.334999	46.871342	104.395103	
145	19.080000	0.920000	3.679000	0.474000	24.750000	40.404041	95.710869	
146	20.356001	0.183000	3.087000	0.455000	25.006001	39.990402	90.664040	
147	17.094999	0.209000	3.721000	0.386000	23.405001	42.725910	101.806129	
148	17.594000	0.204000	3.690000	0.355000	23.670000	42.247570	101.002785	
149	17.024000	0.279000	3.239000	0.370000	24.587000	40.671902	93.232170	
150	17.961000	0.258000	3.320000	0.361000	24.443001	40.911507	95.408669	
151	16.775999	4.390000	3.664000	0.321000	23.149000	43.198410	104.300583	
152	22.733000	0.166000	2.473000	0.340000	26.993000	37.046642	79.847511	
153	17.572001	0.269000	3.783000	0.356000	23.223000	43.060760	103.830544	
154	14.671000	0.286000	3.723000	0.368000	19.934999	50.163033	129.665848	
