framenum	drawtime	copytime
1	5.601000	1.105000
2	6.007000	1.150000
3	5.610000	1.084000
4	6.003000	1.067000
5	5.804000	0.993000
6	5.627000	1.027000
7	5.670000	0.809000
8	5.627000	1.162000
9	5.632000	0.810000
10	5.682000	0.873000
11	6.036000	1.210000
12	5.715000	1.008000
13	5.579000	1.102000
14	6.437000	1.058000
15	5.580000	1.215000
16	5.646000	0.856000
17	5.692000	1.103000
18	6.338000	1.085000
19	6.478000	0.776000
20	6.185000	0.727000
21	6.286000	0.749000
22	6.339000	0.753000
23	6.101000	0.701000
24	6.853027	1.099000
25	6.016000	0.762000
26	5.684000	1.147000
27	5.363000	1.109000
28	5.281000	1.146000
29	5.373000	0.861000
30	5.404000	0.956000
31	8.870000	1.102000
32	6.095000	1.069000
33	5.936000	1.121000
34	7.932000	0.887000
35	7.054000	1.164000
36	7.526000	1.341000
37	7.366000	1.040000
38	7.375000	1.156000
39	8.086000	1.076000
40	7.017000	1.160000
41	6.666000	1.253000
42	6.542000	1.115000
43	7.096000	1.175000
44	6.531000	1.160000
45	6.769000	1.142000
46	6.489000	1.323000
47	6.414000	1.255000
48	7.286000	1.337000
49	6.494000	1.194000
50	6.770000	0.936000
51	7.053000	0.968000
52	6.575000	1.030000
53	6.596000	1.049000
54	6.409000	1.171000
55	6.864000	1.158000
56	6.204000	1.126000
57	6.708000	1.178000
58	6.560000	1.111000
59	6.222000	1.023000
60	6.460000	1.367000
61	5.630000	1.190000
62	6.461000	1.391000
63	5.800000	1.017000
64	6.200000	1.051000
65	6.311000	1.072000
66	5.703000	1.143000
67	6.525000	1.027000
68	5.942000	0.909000
69	5.983000	0.903000
70	6.078000	1.046000
71	6.012000	1.171000
72	6.253000	1.314000
73	5.930000	1.037000
74	6.303000	1.166000
75	7.657000	0.987000
76	6.676000	1.119000
77	7.702000	1.155000
78	6.347000	1.176000
79	6.073000	1.573000
80	6.317000	1.247000
81	7.380000	1.361000
82	6.859000	1.045000
83	7.210000	1.160000
84	7.394000	0.901000
85	6.831000	0.910000
86	7.118000	1.152000
87	6.887000	0.973000
88	7.363000	1.433000
89	6.832000	1.092000
90	7.308000	1.188000
91	7.055000	1.375000
92	7.061000	1.185000
93	7.436000	1.257000
94	7.309000	1.190000
95	7.985000	1.202000
96	9.143000	1.074000
97	9.156000	1.054000
98	8.089000	1.110000
99	8.646000	1.181000
100	8.528000	1.055000
101	9.042000	1.249000
102	8.308000	1.042000
103	7.851000	1.116000
104	7.631000	1.205000
105	7.272000	0.907000
106	7.356000	1.168000
107	7.326000	1.099000
108	7.782000	1.061000
109	7.290000	0.833000
110	7.458000	0.886000
111	8.405000	0.781000
112	7.684000	0.834000
113	8.469000	1.214000
114	7.989000	1.078000
115	8.006000	1.103000
116	9.146000	1.075000
117	8.064000	0.887000
118	8.360000	1.416000
119	8.371000	0.976000
120	9.114000	1.167000
121	8.545000	1.007000
122	8.716000	1.031000
123	8.232000	0.816000
124	8.250000	0.844000
125	9.182000	1.409000
126	8.343000	1.098000
127	9.143000	1.299000
128	8.248000	0.867000
129	8.230000	0.864000
130	8.556000	0.827000
131	8.303000	1.084000
132	10.665000	1.137000
133	8.225000	0.905000
134	8.808000	1.081000
135	8.941000	0.890000
136	8.512000	1.076000
137	8.728000	1.070000
138	8.339000	1.081000
139	9.727000	0.851000
140	8.213000	0.877000
141	8.294000	0.942993
142	8.436000	1.064000
143	8.226000	0.952000
144	8.670000	0.894000
145	8.410000	0.881000
146	8.091000	1.169000
147	9.094000	0.998000
148	7.855000	0.814000
149	9.264000	0.794000
150	8.292000	1.080000
151	8.388000	1.162000
152	8.568000	0.795000
153	8.099000	1.050000
154	8.398000	0.847000
155	8.005000	0.989000
156	8.501000	1.170000
157	7.842000	1.054000
158	7.712000	1.130000
159	10.465000	1.003000
160	8.843000	1.110000
161	9.201000	1.372000
162	8.311000	1.086000
163	8.823000	1.561000
164	8.068000	1.077000
165	8.401000	1.247000
166	8.173000	1.100000
167	8.886000	1.237000
168	8.466000	1.127000
169	8.447000	1.230000
170	8.760000	0.966000
171	7.704000	0.934000
172	8.058000	1.079000
173	7.380000	1.071000
174	7.542000	0.984000
175	8.148000	1.086000
176	7.741000	1.078000
177	7.420000	1.080000
178	7.323000	1.122000
179	8.407000	1.496000
180	7.686000	1.052000
181	7.830000	1.299000
182	7.508000	1.138000
183	7.228000	1.177000
184	7.446000	1.107000
185	7.696000	1.072000
186	8.087000	1.087000
187	7.725000	1.189000
188	8.151000	1.249000
189	7.510000	1.092000
190	7.666000	1.085000
191	8.302000	1.497000
192	7.749000	0.847000
193	7.669000	1.061000
194	7.617000	1.082000
195	7.656000	1.028000
196	8.439000	1.082000
197	7.578000	1.158000
198	8.047000	1.110000
199	7.802000	1.100000
200	8.648000	0.939000
201	7.941000	1.103000
202	8.175000	1.213000
203	7.607000	1.128000
204	7.675000	1.108000
205	7.626000	1.098000
206	7.628000	1.065000
207	8.885000	1.056000
208	7.643000	1.101000
209	8.015000	1.301000
210	8.528000	1.073000
211	7.910000	1.085000
212	8.753000	1.047000
213	7.525000	1.077000
214	8.267000	1.524000
215	7.737000	1.094000
216	8.196000	1.621000
217	8.229000	1.071000
218	8.249000	1.215000
219	8.506000	0.971000
220	7.711000	1.078000
221	7.508000	0.887000
222	7.497000	1.163000
223	8.282000	1.487000
224	7.715000	1.099000
225	8.006000	1.271000
226	7.310000	0.785000
227	7.387000	1.224000
228	7.457000	1.083000
229	7.650000	1.095000
230	8.631000	1.081000
231	7.712000	1.134000
232	7.971000	1.615000
233	7.603000	1.040000
234	7.512000	1.055000
235	7.574000	0.843000
236	7.634000	0.932000
237	7.971000	1.568000
238	7.521000	0.843000
239	7.914000	0.872000
240	7.679000	1.388000
241	7.657000	1.098000
242	8.647000	1.102000
243	7.714000	1.073000
244	8.030000	1.288000
245	7.161000	1.059000
246	7.688000	1.108000
247	7.565000	1.261000
248	7.631000	1.208000
249	8.466000	0.966000
250	7.899000	1.119000
251	7.624000	1.436000
252	7.965000	1.096000
253	7.600000	1.109000
254	7.627000	1.097000
255	7.952000	1.083000
256	8.049000	1.502000
257	7.632019	1.098000
258	8.195000	1.275000
259	7.589000	1.104000
260	7.665000	1.091000
261	7.485000	1.110000
262	7.394000	1.131000
263	8.018000	1.128000
264	6.380000	1.056000
265	6.179000	1.270000
266	5.720000	1.727000
267	5.627000	1.104000
268	5.473000	0.917000
269	5.680000	1.121000
270	5.651000	1.436000
271	5.747000	1.454000
272	5.657000	1.354000
273	5.978000	1.177000
274	5.612000	0.912000
