drawtime	alpharemove	copytime
5.867000	16.068001	1.235000
5.901000	26.327000	1.195000
5.859000	22.021000	1.119000
5.912000	17.966999	1.179000
5.824000	19.527000	1.087000
5.810000	11.758000	1.053000
5.939000	27.482000	1.186000
5.928000	26.570999	1.202000
6.378000	12.169000	1.001000
6.810000	25.738001	1.258000
6.484000	27.261000	1.246000
6.194000	27.278999	1.281000
6.461000	26.855000	1.232000
6.405000	11.623000	3.479000
6.363000	11.997000	0.945984
6.094000	27.923000	1.248000
6.262000	12.266000	0.850000
6.416000	12.299000	0.888000
6.036000	27.351000	1.300000
6.493000	14.521000	1.267000
6.284000	26.820000	1.382000
6.188000	12.245000	1.082000
5.683000	27.632000	1.244000
5.547000	12.937000	1.027000
5.673000	13.093000	0.979000
5.840000	27.966000	1.242000
5.725000	27.854000	1.272000
5.270000	12.638000	0.941000
4.915000	13.280000	0.973000
5.455000	27.819000	1.315000
9.566000	27.941000	1.271000
5.540000	12.904000	0.968000
5.552000	12.788000	0.982000
5.516000	12.892000	0.850000
6.275000	13.222000	0.953000
5.964000	12.657000	1.327000
6.015000	27.833000	1.375000
6.188000	11.986000	1.089000
6.245000	12.780000	0.961000
6.751000	27.774000	1.265000
6.837000	12.362000	1.008000
10.024000	27.795000	1.225000
6.620000	27.798000	1.241000
6.609000	28.445000	1.284000
6.650000	26.666000	1.261000
6.846000	26.434000	1.284000
6.946000	27.614000	1.320000
6.710000	27.747000	1.373000
6.777000	28.191000	1.278000
5.991000	27.868000	1.302000
6.728000	14.923000	1.308000
6.671000	26.921000	1.308000
6.385000	12.216000	1.060000
6.117000	13.464000	0.990000
6.525000	23.098000	1.260000
6.468000	27.931999	1.461000
6.453000	27.268000	1.121000
6.349000	11.892000	0.978000
6.308000	12.441000	0.964000
6.235000	12.814000	0.978000
6.443000	27.893000	1.370000
6.380000	27.872999	1.243000
6.361000	27.933001	1.249000
6.394000	27.906000	1.244000
6.401000	27.993000	1.468000
6.282000	12.415000	0.997000
6.399000	28.031000	1.180000
6.375000	27.926001	1.441000
6.379000	28.007999	1.233000
6.373000	27.968000	1.480000
6.407000	27.893000	1.241000
6.266000	12.497000	0.983000
6.365000	27.705999	1.195000
7.144000	27.974001	1.253000
6.286000	12.418000	0.932000
6.404000	27.747000	1.495000
6.337000	27.804001	1.310000
6.265000	12.536000	0.980000
7.087000	28.240999	1.483000
6.286000	12.150000	0.862000
6.991000	12.931000	1.456000
6.833000	28.245001	1.283000
6.298000	12.073000	1.577000
6.535000	11.829000	1.803000
7.309000	11.714000	1.724000
7.334000	25.365000	1.636000
6.340000	12.380000	1.139000
6.475000	27.495001	1.246000
6.386000	25.622999	1.183000
6.412000	27.271999	1.258000
